"sitename","means","country","stats"
"Brochet",-0.0257887642266461,"Canada","new"
"Buchans",-0.00891749406390416,"Canada","new"
"Bugrino",-0.00409930065831392,"Russia","new"
"Bukachacha",-0.00720046073600827,"Russia","new"
"Burwash Landing",-0.0157025057014371,"Canada","new"
"Buy",-0.00376789262789884,"Russia","new"
"CEN Boniface River Field Station ",-0.0056012237999823,"Canada ","new"
"CEN Clearwater Lake Research Station",-0.0124011560577034,"Canada ","new"
"CEN Salluit Research Station",-0.0198402318982346,"Canada ","new"
"CEN Whapmagoostui-Kuujjuarapik Research Station",-0.0118274836991794,"Canada ","new"
"Cape Bounty",-0.0397089070464801,"Canada","existing"
"Cape Dorset",-0.0380860617870589,"Canada","new"
"Cascade Ridge",-0.00338883914983385,"USA","existing"
"Cat Lake",-0.0323136709114345,"Canada","new"
"Central Marsh",-0.000484989416502302,"USA","existing"
"Chegdomyn",-0.042819838356498,"Russia","new"
"Chelyuskin",-0.0159947680808942,"Russia","new"
"Cherepovets",-0.00216698264117117,"Russia","new"
"Chernyshevskiy",-0.0011202871649283,"Russia","new"
"Chevery",-0.00465391552317881,"Canada","new"
"Chicoutimi",-0.00756072873794361,"Canada","new"
"China Iceland Arctic  Observatory  CIAO",-0.00398866565615946,"Iceland","new"
"Chita",-0.0011719137523704,"Russia","new"
"Chokurdakh/Kytalyk",-0.00317060028583902,"Russia","existing"
"Chukotka",-0.0019746431387267,"Russia","existing"
"Chumikan",-0.0197308265943113,"Russia","new"
"Churchill Falls",-0.0148377650461665,"Canada","new"
"Chusovoy",-0.00165029610487998,"Russia","new"
"Circle",-0.00888766408444741,"United States","new"
"Cochrane",-0.0261227404293771,"Canada","new"
"Cold Bay",-0.00965612085903632,"United States","new"
"Council (NGEE Arctic)",-0.00615348226060921,"USA","existing"
"Council, Alaska",-0.00716943391945056,"USA","existing"
"DMI Geophysical Observatory Qaanaaq",-0.0242681057364974,"Greenland/Denmark","new"
"Daring Lake",-0.00959377265234674,"Canada","existing"
"Daring Lake (Fen)",-0.00913393115328956,"Canada","existing"
"Daring Lake (dwarf shrub)",-0.0166123614849792,"Canada","existing"
"Daring Lake (low shrub)",-0.0254460490925252,"Canada","existing"
"Daring Lake (mixed tundra)",-0.00913393115328956,"Canada","existing"
"Dasan Station site",-0.022327154643855,"Norway","existing"
"Dawson Creek",-0.00277698741602302,"Canada","new"
"Dease Lake",-0.0330260746929554,"Canada","new"
"Deer Lake",-0.00500644462348447,"Canada","new"
"Dikson",-0.00233890932749058,"Russia","new"
"Dillingham",-0.00602678602025461,"United States","new"
"Disko",-0.020477434976733,"Greenland","existing"
"Dolbeau",-0.0156725517662224,"Canada","new"
"Doline",-0.00903968229552671,"Canada","new"
"Dolinsk",-0.0192013606258352,"Russia","new"
"Dudinka",-0.00298356644851783,"Russia","new"
"Eagle",-0.00524059275982738,"United States","new"
"Eastern Old Black Spruce (EOBS)",-0.0242522153466736,"Canada","existing"
"Eastmain",-0.0240753393643484,"Canada","new"
"Egvekinot",-0.0295244202674925,"Russia","new"
"Eldikan",-0.0144573137518181,"Russia","new"
"Elgeeii",-0.0114005515939183,"Russia","existing"
"Emmonak",-0.00452098479322924,"United States","new"
"Ennadai",-0.03929218039529,"Canada","new"
"Enurmino",-0.00533443437712438,"Russia","new"
"Evensk",-0.00803469836818526,"Russia","new"
"Faejemyr",-0.00276026876644924,"Sweden","existing"
"False Pass",-0.00469988342526928,"United States","new"
"Finse",-0.00926010585081675,"Norway","existing"
"Finse Mobile",-0.00926010585081675,"Norway","existing"
"Fish Island",-0.000876266205194363,"Canada","existing"
"Flakaliden",-0.0028478554402975,"Sweden","existing"
"Flashline Mars Arctic Research Station",-0.0166064891084231,"Canada","new"
"Flin Flon",-0.00229786737136399,"Canada","new"
"Focal Campaign Site 1",-0.00172842768798239,"USA","existing"
"Focal Campaign Site 2",-0.00182128789242197,"USA","existing"
"Fort Chipewyan",-0.00764963381348506,"Canada","new"
"Fort Good Hope",-0.0323283121836207,"Canada","new"
"Fort McMurray",-0.00190158222853331,"Canada","new"
"Fort McPherson",-0.00501599192298072,"Canada","new"
"Fort Nelson",-0.0311811192625775,"Canada","new"
"Fort Resolution",-0.00290806022789625,"Canada","new"
"Fort Severn",-0.011434804594566,"Canada","new"
"Fort Smith",-0.00358276989204662,"Canada","new"
"Fort St. John",-0.000986115202493147,"Canada","new"
"Fort Yukon",-0.0058685211651627,"United States","new"
"Forteau",-0.00142084583914887,"Canada","new"
"Galena",-0.00342597986338906,"United States","new"
"Gambell",-0.0195814292365639,"United States","new"
"Gander",-0.00331582567802261,"Canada","new"
"Geraldton",-0.0245265208669531,"Canada","new"
"Gimli",-0.000958806554751601,"Canada","new"
"Gjoa Haven",-0.0135338024163074,"Canada","new"
"Glazov",-0.00511338854986648,"Russia","new"
"Goodnews Bay",-0.00586259775933083,"United States","new"
"Govorovo",-0.056645672975845,"Russia","new"
"Grand Prairie",-0.00197771410475814,"Canada","new"
"Grise Fiord",-0.0330024625059032,"Canada","new"
"Groundhog River",-0.0207293981399259,"Canada","existing"
"Gubakha",-0.0164113294254622,"Russia","new"
"Gulkana",-0.0222830830867308,"United States","new"
"Gunnarsholt",-0.00911160410912982,"Iceland","existing"
"Gyda",-0.00551611369180844,"Russia","new"
"HJP02 Jack Pine",-0.00215256883565648,"Canada","existing"
"HJP75 Jack Pine",-0.0039769831397114,"Canada","existing"
"HJP94 Jack Pine",-0.00373802442470292,"Canada","existing"
"Hakasia 10 yr",-0.00232138747388774,"Russia","existing"
"Hakasia 5yr",-0.00252933886438695,"Russia","existing"
"Hakasia Steppe",-0.0029984663115083,"Russia","existing"
"Hall Beach",-0.00225157183620366,"Canada","new"
"Halssiaapa",-0.00429748510851288,"Finland","existing"
"Hammerfest",-0.0152420838237109,"Kingdom of Norway","new"
"Happy Valley",-0.00149762269682389,"USA","existing"
"Happy Valley - Goose Bay",-0.00657740471796366,"Canada","new"
"Happy Valley Wet Sedge Tundra",-0.00152390352893736,"USA","existing"
"Havikpak Creek",-0.000593105956694601,"Canada","existing"
"Hay River",-0.0209750576107224,"Canada","new"
"Hearst",-0.0392628474743073,"Canada","new"
"Holman",-0.040155383171644,"Canada","new"
"Hooper Bay",-0.00135767977090454,"United States","new"
"Hopedale",-0.0112093188648388,"Canada","new"
"Hudson Bay",-0.0179026035265694,"Canada","new"
"Hughes",-0.00136971384194031,"United States","new"
"Hurdal",-0.00552666661861928,"Norway","existing"
"Hustai grassland",-0.000212743716261902,"Mongolia","existing"
"Hyltemossa",-0.00309323947691341,"Sweden","existing"
"Hyytiaelae Clear Cut",-0.00441262893176696,"Finland","existing"
"Härnösand",-0.00854127366696096,"Sweden","new"
"Höfn",-0.00482035387147089,"Iceland","new"
"Igarka",-0.00893598899773166,"Russia","existing"
"Igloolik",-0.00231507971924946,"Canada","new"
"Igloolik Research Center ",-0.0410381999771329,"Nunavut/Canada","new"
"Igrim",-0.00219514456022529,"Russia","new"
"Illisarvik",-0.00165540032493721,"Canada","existing"
"Indiga",-0.00458838833783056,"Russia","new"
"Inta",-0.00306558213290912,"Russia","new"
"Inukjuak",-0.0246986888311717,"Canada","new"
"Irkutsk",-0.000911854735954614,"Russia","new"
"Island Lake",-0.0455316082301527,"Canada","new"
"Ittoqqortoormiit",-0.0199073089942059,"Denmark","new"
"Ivdel",-0.00334754558167203,"Russia","new"
"Ivugivik",-0.0354939704472788,"Canada","new"
"James Bay Lowlands",-0.0219343025432611,"Canada","existing"
"Jokioinen agricultural field",-0.0066286074445352,"Finland","existing"
"Juneau",-0.00435432986953365,"United States","new"
"Kaamanen wetland",-0.00274030470479332,"Finland","existing"
"Kainuu Fisheries Research Station",-0.00211305071333624,"Finland","new"
"Kalevansuo",-0.00469279526540191,"Finland","existing"
"Kaltag",-0.00334588662906728,"United States","new"
"Kamensk Uralskiy",-0.0012590683401153,"Russia","new"
"Kangerlussuaq",-0.0215554085401143,"Denmark","new"
"Kangirsuk",-0.0255151144078895,"Canada","new"
"Kapuskasing",-0.00693493075899102,"Canada","new"
"Karamken",-0.00838836535057447,"Russia","new"
"Karluk",-0.00807830917813809,"United States","new"
"Karpinsk",-0.00200713611043743,"Russia","new"
"Kaskara Crop",-0.00210083469549154,"Russia","existing"
"Kavache",-0.0431824582703498,"Russia","new"
"Keflavík",-0.0103306615168307,"Iceland","new"
"Kem",-0.00594856385748627,"Russia","new"
"Kenttarova",-0.00937472941864135,"Finland","existing"
"Khakhar",-0.0329320706424792,"Russia","new"
"Khandyga",-0.0100663909888217,"Russia","new"
"Khanymey",-0.00461525403891376,"Russia","new"
"Khatanga",-0.0051565476086263,"Russia","new"
"Kherlenbayan Ulaan",-0.000374198033818905,"Mongolia","existing"
"Khibiny Educational and Scientific Station ",-0.00634783382121772,"Russia ","new"
"Khilok",-0.00300695472973763,"Russia","new"
"Khorgo",-0.00802721417301217,"Russia","new"
"Kilpisjaervi",-0.00607043520777806,"Finland","existing"
"Kimmirut",-0.0310705044357231,"Canada","new"
"Kineshma",-0.00616200684698655,"Russia","new"
"King Salmon",-0.00499994849165948,"United States","new"
"Kinoje Lake",-0.0143180995080195,"Canada","existing"
"Kirensk",-0.00388958759621074,"Russia","new"
"Kirov",-0.00115157456944989,"Russia","new"
"Kirovo-Chepetsk",-0.00683241828774684,"Russia","new"
"Kirovsk",-0.0118492181051756,"Russia","new"
"Kirs",-0.0303388126198408,"Russia","new"
"Kivalina",-0.00321947917109099,"United States","new"
"Kizel",-0.011646652919664,"Russia","new"
"Kluane Lake Research Station",-0.00810298617657904,"Canada ","new"
"Klyuchi",-0.014274988775065,"Russia","new"
"Knottasen",-0.00379065902679994,"Sweden","existing"
"Kobbefjord",-0.0131148472674657,"Greenland","existing"
"Kobuk",-0.000493503836490532,"United States","new"
"Kodiak",-0.00576724740250082,"United States","new"
"Kodinskiy",-0.015440451359738,"Russia","new"
"Kogalym",-0.0123196500943651,"Russia","new"
"Kokkola",-0.00672416296380811,"Finland","new"
"Kolpashevo",-0.00282765857192964,"Russia","new"
"Kolpino",-0.00537933923431432,"Russia","new"
"Komsomolsk na Amure",-0.00325478879824295,"Russia","new"
"Korsakov",-0.00383808855713869,"Russia","new"
"Kostroma",-0.00170432712646405,"Russia","new"
"Kotelnich",-0.00566192917361715,"Russia","new"
"Kotlas",-0.00462827734273931,"Russia","new"
"Kotlit",-0.00181384014852446,"United States","new"
"Kovda",-0.00260030288056141,"Russia","new"
"Koyuk",-0.00434995747458244,"United States","new"
"Koyukuk",-0.00162524324410339,"United States","new"
"Krasnokamsk",-0.0015559571154126,"Russia","new"
"Krasnoturinsk",-0.0371787024742324,"Russia","new"
"Krasnouralsk",-0.00317414908191885,"Russia","new"
"Kudymkar",-0.00968812679783273,"Russia","new"
"Kugluktuk",-0.00509152951857659,"Canada","new"
"Kullorsuaq",-0.0154124836874422,"Denmark","new"
"Kulusuk",-0.0112846264875531,"Denmark","new"
"Kumpula",-0.00171905885641222,"Finland","existing"
"Kuujjuarapik",-0.0126541816402856,"Canada","new"
"Kyshtym",-0.00255556803557892,"Russia","new"
"La Biche River",-0.0201838335168804,"Canada","existing"
"La Sarre",-0.00442285454316526,"Canada","new"
"La Scie",-0.00480298793170117,"Canada","new"
"Labrador City",-0.00740415916365621,"Canada","new"
"Lac Le Caron",-0.0125925375272532,"Canada","existing"
"Lake Minchumina",-0.00813264854604072,"United States","new"
"Lammin-Suo Peatland Station",-0.00341711717269047,"Russia","new"
"Lansdowne House",-0.0230150174229965,"Canada","new"
"Laryak",-0.00264094606906326,"Russia","new"
"Lensk",-0.00200425768849012,"Russia","new"
"Lesosibirsk",-0.00131346320622624,"Russia","new"
"Lettosuo",-0.00213391298097057,"Finland","existing"
"Lily Lake Fen",-0.00458860265679727,"USA","existing"
"Litla-Skard ",-0.00643579230888175,"Iceland ","new"
"Ljusdal_HY",-0.00696448546590877,"Sweden","existing"
"Ljusdal_SLM",-0.00847786775383068,"Sweden","existing"
"Logashkino",-0.0023086105748376,"Russia","new"
"Luga",-0.00298864041051305,"Russia","new"
"Lutose Rich Fen",-0.0103965365425289,"Canada","existing"
"Lutselke",-0.00338586177068028,"Canada","new"
"Maaninka",-0.0110591202000987,"Finland","existing"
"Mader",-0.00457868415787356,"Finland","existing"
"Magadan",-0.0114318881730393,"Russia","new"
"Makarov",-0.00391144128006412,"Russia","new"
"Manily",-0.0246569959903603,"Russia","new"
"Manitoba, Northern Old Black Spruce (BOREAS)",-0.0127049020976274,"Canada","existing"
"Marathon",-0.0154521174797726,"Canada","new"
"Marcell Experimental Forest",-0.0081264037471161,"USA","existing"
"Matagami",-0.0312564190516409,"Canada","new"
"McGrath",-0.0019203047294284,"United States","new"
"Meadow Lake",-0.00193433190958968,"Canada","new"
"Megion",-0.0157189443558856,"Russia","new"
"Mekoryuk",-0.0118615903248351,"United States","new"
"Menkere",-0.0641272699342165,"Russia","new"
"Mezen",-0.00487593860406166,"Russia","new"
"Miass",-0.00309760189252778,"Russia","new"
"Mikkeli",-0.00350817156209737,"Finland","new"
"Mirnyy",-0.000751286928787638,"Russia","new"
"Mo i Rana",-0.010957497237178,"Kingdom of Norway","new"
"Mogocha",-0.0134706760947517,"Russia","new"
"Molde",-0.00680304074969213,"Kingdom of Norway","new"
"Monchegorsk",-0.0195861004843168,"Russia","new"
"Mongolia",-0.00353772581460593,"Mongolia","existing"
"Montana",-0.0184172889466171,"United States","new"
"Montmorency Forest juvenile",-0.000761059607372133,"Canada","existing"
"Montmorency Forest sapling",-0.00109781791489614,"Canada","existing"
"Mukhomornoye",-0.0117067038902043,"Russia","new"
"Mukhrino",-0.0104546422007424,"Russia","existing"
"Murmansk",-0.0130874423666378,"Russia","new"
"NEON Barrow Environmental Observatory (BARR)",-0.000373300147970053,"USA","existing"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",-0.0028859063046074,"USA","existing"
"NEON Delta Junction (DEJU)",-0.0385579955872691,"USA","existing"
"NEON Healy (HEAL)",-0.00459270250791681,"USA","existing"
"NEON Toolik (TOOL)",-0.000954463648053092,"USA","existing"
"NGEE Arctic Barrow",-0.000134428141087162,"USA","existing"
"Nadym",-0.00607063790784192,"Russia","new"
"Nain",-0.00710302998312502,"Canada","new"
"Nalaikh grassland",-0.000604486726674933,"Mongolia","existing"
"Namsos",-0.00852410623969491,"Kingdom of Norway","new"
"Narsarsuaq",-0.0147525698732177,"Denmark","new"
"Naryan Mar",-0.00359935265090291,"Russia","new"
"Natara",-0.0557380606091946,"Russia","new"
"Natashquan",-0.00489010285440147,"Canada","new"
"Naujaat",-0.0443726876974021,"Canada","new"
"Nefteyugansk",-0.00619145294051781,"Russia","new"
"Nelegel",-0.0151185198958481,"Russia","existing"
"Neleger",-0.000238139454038569,"Russia","existing"
"Neleger Burnt Forest",-0.0163993183547549,"Russia","existing"
"Neleger Cutover",-0.016207410479511,"Russia","existing"
"Neleger larch forest",-0.0151185198958481,"Russia","existing"
"Nerchinsk",-0.00199019910376769,"Russia","new"
"Neryungri",-0.0412968074635158,"Russia","new"
"Nevyansk",-0.00151354671295538,"Russia","new"
"Newhalen",-0.00537017519652198,"United States","new"
"Nibio Svanhovd Research Station ",-0.00558986652631538,"Norway ","new"
"Nikel",-0.0192463634430943,"Russia","new"
"Nikolski",-0.00750379410398892,"United States","new"
"Nipigon",-0.0171893017708764,"Canada","new"
"Nizhenvartovsk",-0.00345945985384823,"Russia","new"
"Nizhneudinsk",-0.00171766154620991,"Russia","new"
"Nizhneyansk",-0.0273350972674492,"Russia","new"
"Nizhny Tagil",-0.00483848858746548,"Russia","new"
"Nizhnyaya Tura",-0.00443136301794958,"Russia","new"
"Noginsk",-0.0106497566933855,"Russia","new"
"Nogliki",-0.0124329236215199,"Russia","new"
"Nord",-0.0387980925803428,"Denmark","new"
"Nordvik",-0.00418316381533278,"Russia","new"
"Norilsk",-0.0107774816834409,"Russia","new"
"Norman Wells",-0.00716448374439596,"Canada","new"
"Norunda",-0.00530934304703722,"Sweden","existing"
"Norway House",-0.0154369782787218,"Canada","new"
"Novy Urengoy",-0.000975375853613219,"Russia","new"
"Novyy Uoyin",-0.0068552917211154,"Russia","new"
"Noyabrsk",-0.00925417489018571,"Russia","new"
"Numto",-0.00282061496356733,"Russia","new"
"Numto Park Station",-0.0103824635262981,"Russia ","new"
"Nuuk Fen",-0.0129971467366682,"Greenland","existing"
"Nyac",-0.00848076673750132,"United States","new"
"Nyagan",-0.00126650213604518,"Russia","new"
"Nyukzha",-0.0313420657457889,"Russia","new"
"Okha",-0.00755004009851411,"Russia","new"
"Okhotsk",-0.00649020590787823,"Russia","new"
"Oktyabrskiy",-0.00440178898387814,"Russia","new"
"Olenek",-0.0342695191009068,"Russia","new"
"Olyokminsk",-0.00605056242909611,"Russia","new"
"Omchak",-0.0253402717510575,"Russia","new"
"Omolon",-0.0444779500734708,"Russia","new"
"Omsukchan",-0.0332888363892852,"Russia","new"
"Omutninsk",-0.00227744518144292,"Russia","new"
"Onega",-0.0122709204427478,"Russia","new"
"Orotuk Field Station",-0.0170624364717296,"Russia","new"
"Oulanka, Puukkosuo fen",-0.0186510255286655,"Finland","existing"
"Oulu",-0.00917702199552331,"Finland","new"
"Oxford House",-0.00589014360136913,"Canada","new"
"Oymyakon",-0.0261349556838669,"Russia","new"
"Paamiut",-0.0152403729579577,"Denmark","new"
"Pakhachi",-0.00494990910294907,"Russia","new"
"Palana",-0.00506147951218141,"Russia","new"
"Palatka",-0.0180859518145648,"Russia","new"
"Palmer",-0.00278844196538593,"United States","new"
"Paulatuk",-0.0241053625954163,"Canada","new"
"Peace River",-0.00343514395477096,"Canada","new"
"Pechora",-0.00646290462595714,"Russia","new"
"Peregrebnoye",-0.00352245684509443,"Russia","new"
"Perryville",-0.00319050157193589,"United States","new"
"Pervouralsk",-0.0020176073041701,"Russia","new"
"Petite Riviere (Baie Comeau)",-0.00565032476306676,"Canada","existing"
"Petropavlovsk Kamchatskiy",-0.00389600409641508,"Russia","new"
"Petrovsk Zabaykalskiy",-0.00346615328699586,"Russia","new"
"Petrozavodsk",-0.00622447479223065,"Russia","new"
"Pevek",-0.00514249678956522,"Russia","new"
"Pilot Point",-0.00559586769982614,"United States","new"
"Plotnikovo",-0.00214443059287523,"Russia","existing"
"Poker Flat Research (fire scar succession)",-0.00402069324445092,"USA","existing"
"Poker Flat Research Range Black Spruce Forest",-0.00133749913957365,"USA","existing"
"Polevskoy",-0.00262053376488464,"Russia","new"
"Polish Polar Station Hornsund",-0.0133048627079915,"Svalbard/Poland","new"
"Polyarnyy",-0.0123936109620566,"Russia","new"
"Poronaysk",-0.0223767249553859,"Russia","new"
"Port Burwell",-0.0166644293179152,"Canada","new"
"Port Heiden",-0.0063108990610549,"United States","new"
"Port Hope Simpson",-0.00401305506191883,"Canada","new"
"Port-Menier",-0.00599414249878414,"Canada","new"
"Prince Albert (BOREAS)",-0.0211271609437015,"Canada","existing"
"Provideniya",-0.0231163428656681,"Russia","new"
"Prudhoe Bay Wet Sedge",-0.00172842768798239,"USA","existing"
"Pukatawagan",-0.00273018453720053,"Canada","new"
"Put Lenina",-0.0361722105055814,"Russia","new"
"Qaanaaq",-0.019435810857298,"Denmark","new"
"Qaqortoq",-0.0146254023899462,"Denmark","new"
"Qasigiannguit",-0.0160861846527005,"Denmark","new"
"Quebec - 1975 Harvested Black Spruce (HBS75)",-0.013072849826447,"Canada","existing"
"Quinhagak",-0.00230870201532653,"United States","new"
"Qvidja",-0.00302496288827643,"Finland","existing"
"Rankin Inlet",-0.0122017325261248,"Canada","new"
"Ranskalankorpi",-0.00190428071405579,"Finland","existing"
"Red Devil",-0.0216644240112367,"United States","new"
"Red Lake",-0.0203561958078475,"Canada","new"
"Resolute Bay",-0.0282741276746025,"Canada","existing"
"Rif Field Station",-0.0104380423150139,"Iceland","new"
"Rigolet",-0.00576918189741737,"Canada","new"
"Robinsons_Natural_Bog_NL",-0.00594261748371362,"Canada","existing"
"Robinsons_Peatland_Pasture_NL",-0.00597901411682644,"Canada","existing"
"Rosinedal-3",-0.00517251197116833,"Sweden","existing"
"Rosinedalsheden (control)",-0.00265339354764708,"Sweden","existing"
"Rosinedalsheden (fertilized)",-0.0048611244147641,"Sweden","existing"
"Rostov",-0.0020456751652498,"Russia","new"
"Rouyn-Noranda",-0.0128389473356138,"Canada","new"
"Rovaniemi",-0.00932678998280008,"Finland","new"
"Rusanovo",-0.0169695838338928,"Russia","new"
"Rybinsk",-0.00189063896401837,"Russia","new"
"Rylekaerene Zackenberg",-0.023521127240305,"Greenland","existing"
"Sag Riverside",-0.00154474964872098,"USA","existing"
"Sagastyr",-0.00285526604947704,"Russia","new"
"Salekhard",-0.00305654499251212,"Russia","new"
"Salluit",-0.0207962302639954,"Canada","new"
"Salmisuo",-0.00526703198272131,"Finland","existing"
"Sammaltunturi",-0.00540055912844636,"Finland","existing"
"Samoylov, floodplain",-0.00237999634878604,"Russia","existing"
"Sand Point",-0.00824832196718242,"United States","new"
"Sangar",-0.0260370410571932,"Russia","new"
"Saranpaul",-0.0109376122612005,"Russia","new"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",-0.0039769831397114,"Canada","existing"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.00307082629494624,"Canada","existing"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.00215256883565648,"Canada","existing"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.0206084678383217,"Canada","existing"
"Saskatchewan - Western Boreal, Mature Jack Pine",-0.00484663900832081,"Canada","existing"
"Saskatchewan - Western Boreal, forest burned in 1977",-0.00664294948130958,"Canada","existing"
"Saskatchewan - Western Boreal, forest burned in 1989",-0.0210581281518229,"Canada","existing"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0261845129166745,"Canada","existing"
"Saskylakh",-0.0243303931648819,"Russia","new"
"Sauðárkrókur",-0.00304916734969218,"Iceland","new"
"Savissivik",-0.0354476009805984,"Denmark","new"
"Savonlinna",-0.00861937263310608,"Finland","new"
"Schefferville",-0.00833415705011242,"Canada","new"
"Segezha",-0.00722957545471244,"Russia","new"
"Seida",-0.0100735936993499,"Russia","existing"
"Selawik",-0.000940886050502567,"United States","new"
"Selkirk",-0.000883056709995306,"Canada","new"
"Sept-Îles",-0.00858843900633834,"Canada","new"
"Serov",-0.00180770154995978,"Russia","new"
"Severo Kurilsk",-0.00638001182477613,"Russia","new"
"Severodvinsk",-0.00705891701713751,"Russia","new"
"Severomorsk",-0.0163051240514322,"Russia","new"
"Severouralsk",-0.00281000729318228,"Russia","new"
"Shalaurova",-0.00379943498583612,"Russia","new"
"Shamattawa",-0.0097251902640099,"Canada","new"
"Sharya",-0.002622603401531,"Russia","new"
"Shishmaref",-0.00561398371032614,"United States","new"
"Shuya",-0.00393959352583754,"Russia","new"
"Siglan",-0.00609870555537696,"Russia","new"
"Siikaneva-2 Bog",-0.00619859216228074,"Finland","existing"
"Sioux Lookout",-0.0372306309644905,"Canada","new"
"Sisimiut",-0.0219872535016553,"Denmark","new"
"Skagway",-0.00691893414295028,"United States","new"
"Skien",-0.00714237635258008,"Kingdom of Norway","new"
"Skyttorp",-0.00525907037498618,"Sweden","existing"
"Skyttorp, young",-0.00510578785839028,"Sweden","existing"
"Slavin Watershed TWO",-0.0282866643788205,"Canada","existing"
"Slobodskoy",-0.00278589748428248,"Russia","new"
"Slyudyanka",-0.028834731617473,"Russia","new"
"Sodankyla",-0.00720357611799613,"Finland","existing"
"Sokol",-0.00243649102337736,"Russia","new"
"Solikamsk",-0.00179638138244954,"Russia","new"
"Soontaga",-0.00491917834325753,"Estonia","existing"
"Sosnogorsk",-0.00357432644658919,"Russia","new"
"Southern Khentei Taiga",-0.0172738394440191,"Mongolia","existing"
"Southern Old Aspen (BERMS)",-0.0233408370299215,"Canada","existing"
"Southern Old Black Spruce",-0.0206084678383217,"Canada","existing"
"Sovetsk",-0.00130735807665233,"Russia","new"
