"sitename","means","country","type"
"Fort Nelson",-0.00749262529300999,"Canada","NA__NA"
"Fort Resolution",-0.00184351147788359,"Canada","NA__NA"
"Fort Severn",-0.00208582086476301,"Canada","NA__NA"
"Fort Smith",-0.00150937435707174,"Canada","NA__NA"
"Fort St. John",-0.000288335232638331,"Canada","NA__NA"
"Fort Yukon",-0.00154182190567811,"United States","NA__NA"
"Forteau",-3.44251418447377e-05,"Canada","NA__NA"
"Galena",-0.00260370934553798,"United States","NA__NA"
"Gambell",-0.00138639023182478,"United States","NA__NA"
"Gander",-0.000122774204377927,"Canada","NA__NA"
"Geraldton",-0.00253307765092313,"Canada","NA__NA"
"Gimli",-0.000644152580322589,"Canada","NA__NA"
"Gjoa Haven",-0.00278770007514289,"Canada","NA__NA"
"Glazov",-0.00382976710892855,"Russia","NA__NA"
"Goodnews Bay",-0.000653833410812058,"United States","NA__NA"
"Govorovo",-0.0284852575452635,"Russia","NA__NA"
"Grand Prairie",-0.00088664303141064,"Canada","NA__NA"
"Grise Fiord",-0.00886522192134773,"Canada","NA__NA"
"Gubakha",-0.010785902425996,"Russia","NA__NA"
"Gulkana",-0.00314476386835248,"United States","NA__NA"
"Gunnarsholt",-0.001872517843161,"Iceland","inactive__Summer"
"Gyda",-0.00420888099696662,"Russia","NA__NA"
"HJP02 Jack Pine",-2.55020069642839e-05,"Canada","inactive__Summer"
"HJP75 Jack Pine",-2.2319495388133e-06,"Canada","inactive__Summer"
"HJP94 Jack Pine",-2.3859598011976e-05,"Canada","inactive__Summer"
"Hakasia 10 yr",-0.00110422516112561,"Russia","inactive__Summer"
"Hakasia 5yr",-0.00157095278331474,"Russia","inactive__Summer"
"Hakasia Steppe",-0.00137086882493553,"Russia","inactive__Summer"
"Hall Beach",-0.000707405880335211,"Canada","NA__NA"
"Hammerfest",-0.00384952173546215,"Norway","NA__NA"
"Happy Valley",-0.000346617722176883,"United States","inactive__Summer"
"Happy Valley - Goose Bay",-0.000824793339917683,"Canada","NA__NA"
"Happy Valley Wet Sedge Tundra",-0.000146958331653039,"United States","inactive__All year"
"Hay River",-0.00217812533491777,"Canada","NA__NA"
"Hearst",-0.013140618174559,"Canada","NA__NA"
"Holman",-0.0102615471393544,"Canada","NA__NA"
"Hooper Bay",-0.000898356040292693,"United States","NA__NA"
"Hopedale",-0.00110629447693478,"Canada","NA__NA"
"Hudson Bay",-0.00164663214683236,"Canada","NA__NA"
"Hughes",-0.000454533051253981,"United States","NA__NA"
"Hustai grassland",-9.59754825178797e-05,"Mongolia","inactive__All year"
"Hyytiaelae Clear Cut",-0.00041501438431953,"Finland","inactive__Summer"
"Härnösand",-0.00076018883551353,"Sweden","NA__NA"
"Höfn",-0.000810983090308236,"Iceland","NA__NA"
"Igloolik",-0.000588481124741366,"Canada","NA__NA"
"Igloolik Research Center ",-0.0113136705279954,"Canada","NA__NA"
"Igrim",-0.00110604784606665,"Russia","NA__NA"
"Illisarvik",-0.000546486411515,"Canada","inactive__Summer"
"Indiga",-0.00171269572142944,"Russia","NA__NA"
"Inta",-0.000849767740037571,"Russia","NA__NA"
"Inukjuak",-0.00458433731736497,"Canada","NA__NA"
"Irkutsk",-0.000560099904099689,"Russia","NA__NA"
"Island Lake",-0.00758701448971009,"Canada","NA__NA"
"Ittoqqortoormiit",-0.00222839949274349,"Greenland","NA__NA"
"Ivdel",-0.00110045513009503,"Russia","NA__NA"
"Ivugivik",-0.00860507437138072,"Canada","NA__NA"
"James Bay Lowlands",-0.0033319097981247,"Canada","inactive__Summer"
"Jokioinen agricultural field",-0.00450816821168254,"Finland","inactive__Summer"
"Juneau",-0.000719640662708053,"United States","NA__NA"
"Kaamanen wetland",-0.000730883466722822,"Finland","inactive__All year"
"Kainuu Fisheries Research Station",-0.000698903527778839,"Finland","NA__NA"
"Kalevansuo",-0.000192462644509922,"Finland","inactive__Summer"
"Kaltag",-0.00106537893519605,"United States","NA__NA"
"Kamensk Uralskiy",-0.000669515567131668,"Russia","NA__NA"
"Kangerlussuaq",-0.00367039209093491,"Greenland","NA__NA"
"Kangirsuk",-0.00432379261598796,"Canada","NA__NA"
"Kapuskasing",-0.00150701105530487,"Canada","NA__NA"
"Karamken",-0.00320253818993025,"Russia","NA__NA"
"Karluk",-0.00170827392662485,"United States","NA__NA"
"Karpinsk",-0.000909456210258846,"Russia","NA__NA"
"Kaskara Crop",-0.00166967333123561,"Russia","inactive__Summer"
"Kavache",-0.0221430057787051,"Russia","NA__NA"
"Keflavík",-0.00218808306131054,"Iceland","NA__NA"
"Kem",-0.000545642974952714,"Russia","NA__NA"
"Khakhar",-0.00833124421603423,"Russia","NA__NA"
"Khandyga",-0.000914902618658976,"Russia","NA__NA"
"Khanymey",-0.0039856257556562,"Russia","NA__NA"
"Khatanga",-0.00268861978666697,"Russia","NA__NA"
"Kherlenbayan Ulaan",-0.000256147837098425,"Mongolia","inactive__All year"
"Khibiny Educational and Scientific Station ",-0.000514283898374254,"Russia","NA__NA"
"Khilok",-0.00146906797661314,"Russia","NA__NA"
"Khorgo",-0.00644818162913096,"Russia","NA__NA"
"Kimmirut",-0.00691137888913413,"Canada","NA__NA"
"Kineshma",-0.00308366955158624,"Russia","NA__NA"
"King Salmon",-0.00189157392995972,"United States","NA__NA"
"Kirensk",-0.000861390476464702,"Russia","NA__NA"
"Kirov",-0.000197134895565219,"Russia","NA__NA"
"Kirovo-Chepetsk",-0.003490315845219,"Russia","NA__NA"
"Kirovsk",-0.00190607646756318,"Russia","NA__NA"
"Kirs",-0.0126335049999348,"Russia","NA__NA"
"Kivalina",-0.0025622436883224,"United States","NA__NA"
"Kizel",-0.00827380330555819,"Russia","NA__NA"
"Kluane Lake Research Station",-0.0013835014826822,"Canada","NA__NA"
"Klyuchi",-0.00852208351597493,"Russia","NA__NA"
"Kobbefjord",-0.00197148402872472,"Greenland","inactive__Summer"
"Kobuk",-0.000169654819202886,"United States","NA__NA"
"Kodiak",-0.00146547894800938,"United States","NA__NA"
"Kodinskiy",-0.00342049066419952,"Russia","NA__NA"
"Kogalym",-0.00622786358482575,"Russia","NA__NA"
"Kokkola",-0.000374214372457875,"Finland","NA__NA"
"Kolpashevo",-0.00109400253641268,"Russia","NA__NA"
"Kolpino",-0.00213321125524349,"Russia","NA__NA"
"Komsomolsk na Amure",-0.00132079831975632,"Russia","NA__NA"
"Korsakov",-0.000177822283806576,"Russia","NA__NA"
"Kostroma",-0.000112720431431472,"Russia","NA__NA"
"Kotelnich",-0.00217837942754087,"Russia","NA__NA"
"Kotlas",-0.0021322933954971,"Russia","NA__NA"
"Kotlit",-0.00101325105505056,"United States","NA__NA"
"Kovda",-0.00124576434723998,"Russia","NA__NA"
"Koyuk",-0.00144736455638283,"United States","NA__NA"
"Koyukuk",-0.000812535492254674,"United States","NA__NA"
"Krasnokamsk",-0.000380525988736977,"Russia","NA__NA"
"Krasnoturinsk",-0.0168880540085398,"Russia","NA__NA"
"Krasnouralsk",-0.0021279037626861,"Russia","NA__NA"
"Kudymkar",-0.00567833090258555,"Russia","NA__NA"
"Kugluktuk",-0.00449545708249268,"Canada","NA__NA"
"Kullorsuaq",-0.00174249685538858,"Greenland","NA__NA"
"Kulusuk",-0.00310178467341956,"Greenland","NA__NA"
"Kuujjuarapik",-0.00276398113301734,"Canada","NA__NA"
"Kyshtym",-0.000717829261272182,"Russia","NA__NA"
"La Sarre",-0.00085404785481092,"Canada","NA__NA"
"La Scie",-0.000294137704146213,"Canada","NA__NA"
"Labrador City",-0.00183464475061907,"Canada","NA__NA"
"Lac Le Caron",-0.00214780687025078,"Canada","inactive__All year"
"Lake Minchumina",-0.0018261107745817,"United States","NA__NA"
"Lammin-Suo Peatland Station",-0.000160484713975698,"Russia","NA__NA"
"Lansdowne House",-0.0028823352313924,"Canada","NA__NA"
"Laryak",-0.00165193126991638,"Russia","NA__NA"
"Lensk",-0.00075873570615479,"Russia","NA__NA"
"Lesosibirsk",-0.000655499823624724,"Russia","NA__NA"
"Litla-Skard ",-0.00133984318572584,"Iceland ","NA__NA"
"Ljusdal_HY",-0.000745303308113437,"Sweden","inactive__Summer"
"Ljusdal_SLM",-0.000995160316200585,"Sweden","inactive__All year"
"Logashkino",-0.00171021997056986,"Russia","NA__NA"
"Luga",-0.000113712934353588,"Russia","NA__NA"
"Lutose Rich Fen",-0.003201099182851,"Canada","inactive__All year"
"Lutselke",-0.00197225866209474,"Canada","NA__NA"
"Maaninka",-0.00631837289969337,"Finland","inactive__Summer"
"Magadan",-0.000907349452979222,"Russia","NA__NA"
"Makarov",-0.00104983169935572,"Russia","NA__NA"
"Manily",-0.00343742119768529,"Russia","NA__NA"
"Manitoba, Northern Old Black Spruce (BOREAS)",-0.00537157091709793,"Canada","inactive__All year"
"Marathon",-0.00328365930880649,"Canada","NA__NA"
"Marcell Experimental Forest",-8.27324638920443e-05,"United States","inactive__Summer"
"Matagami",-0.00514734258983503,"Canada","NA__NA"
"McGrath",-0.000985500119169532,"United States","NA__NA"
"Meadow Lake",-0.00063896035580682,"Canada","NA__NA"
"Megion",-0.00659905793246222,"Russia","NA__NA"
"Mekoryuk",-0.000439309381166752,"United States","NA__NA"
"Menkere",-0.0300364314476228,"Russia","NA__NA"
"Mezen",-0.00191246168023639,"Russia","NA__NA"
"Miass",-0.0020495857670636,"Russia","NA__NA"
"Mikkeli",-0.000258538083696568,"Finland","NA__NA"
"Mirnyy",-0.000272565221693591,"Russia","NA__NA"
"Mo i Rana",-0.00213584729389007,"Norway","NA__NA"
"Mogocha",-0.00526670046490998,"Russia","NA__NA"
"Molde",-0.00147894895045891,"Norway","NA__NA"
"Monchegorsk",-0.00229461741912593,"Russia","NA__NA"
"Mongolia",-0.0016020329076582,"Mongolia","inactive__Summer"
"Montana",-0.0107353464344712,"United States","NA__NA"
"Mukhomornoye",-0.00400483075109428,"Russia","NA__NA"
"Murmansk",-0.00159972464600053,"Russia","NA__NA"
"Nadym",-0.00476090957817247,"Russia","NA__NA"
"Nain",-0.00276999412040597,"Canada","NA__NA"
"Nalaikh grassland",-0.000432580604295288,"Mongolia","inactive__All year"
"Namsos",-0.00182467477515296,"Norway","NA__NA"
"Narsarsuaq",-0.00322642914646026,"Greenland","NA__NA"
"Naryan Mar",-0.00236200558647796,"Russia","NA__NA"
"Natara",-0.0252851314727297,"Russia","NA__NA"
"Natashquan",-0.000463463462539707,"Canada","NA__NA"
"Naujaat",-0.0125020982175603,"Canada","NA__NA"
"Nefteyugansk",-0.0031549713253232,"Russia","NA__NA"
"Nelegel",-0.000730666934486864,"Russia","inactive__Summer"
"Neleger",-3.60937030755237e-05,"Russia","inactive__Summer"
"Neleger Burnt Forest",-0.000865981330102523,"Russia","inactive__Summer"
"Neleger Cutover",-0.000835360952643413,"Russia","inactive__Summer"
"Neleger larch forest",-0.000730666934486864,"Russia","inactive__Summer"
"Nerchinsk",-0.000948092698425977,"Russia","NA__NA"
"Neryungri",-0.0126492397354051,"Russia","NA__NA"
"Nevyansk",-0.000696946619977529,"Russia","NA__NA"
"Newhalen",-0.000751960183291736,"United States","NA__NA"
"Nibio Svanhovd Research Station ",-0.000551638506693281,"Norway ","NA__NA"
"Nikel",-0.00400232562135537,"Russia","NA__NA"
"Nikolski",-0.00171746320662813,"United States","NA__NA"
"Nipigon",-0.00101588562146833,"Canada","NA__NA"
"Nizhenvartovsk",-0.00249179494781427,"Russia","NA__NA"
"Nizhneudinsk",-0.00103402116731712,"Russia","NA__NA"
"Nizhneyansk",-0.0153209519609599,"Russia","NA__NA"
"Nizhny Tagil",-0.00191902178479407,"Russia","NA__NA"
"Nizhnyaya Tura",-0.00298119403800675,"Russia","NA__NA"
"Noginsk",-0.00351795430893054,"Russia","NA__NA"
"Nogliki",-0.00622397322014153,"Russia","NA__NA"
"Nord",-0.0105397916874424,"Greenland","NA__NA"
"Nordvik",-0.00376626747756867,"Russia","NA__NA"
"Norilsk",-0.00319703475106266,"Russia","NA__NA"
"Norman Wells",-0.00170467113031437,"Canada","NA__NA"
"Norway House",-0.00372687644187261,"Canada","NA__NA"
"Novy Urengoy",-0.000501034244487235,"Russia","NA__NA"
"Novyy Uoyin",-0.00150489529604443,"Russia","NA__NA"
"Noyabrsk",-0.00686929875446932,"Russia","NA__NA"
"Numto",-0.00248588785646656,"Russia","NA__NA"
"Numto Park Station",-0.00532736482626163,"Russia","NA__NA"
"Nyac",-0.00532394532757597,"United States","NA__NA"
"Nyagan",-0.00071113177724061,"Russia","NA__NA"
"Nyukzha",-0.00957493726393236,"Russia","NA__NA"
"Okha",-0.0016444082448638,"Russia","NA__NA"
"Okhotsk",-0.00236011496602037,"Russia","NA__NA"
"Oktyabrskiy",-0.000482182632721233,"Russia","NA__NA"
"Olenek",-0.0147452495757862,"Russia","NA__NA"
"Olyokminsk",-0.00229970046684749,"Russia","NA__NA"
"Omchak",-0.00818174375078343,"Russia","NA__NA"
"Omolon",-0.0188757752996099,"Russia","NA__NA"
"Omsukchan",-0.0186916812959031,"Russia","NA__NA"
"Omutninsk",-0.000405187619929831,"Russia","NA__NA"
"Onega",-0.00568388493086681,"Russia","NA__NA"
"Orotuk Field Station",-0.00518606517308554,"Russia","NA__NA"
"Oulu",-0.00072317772159448,"Finland","NA__NA"
"Oxford House",-0.00210927178570463,"Canada","NA__NA"
"Oymyakon",-0.0137057610053323,"Russia","NA__NA"
"Paamiut",-0.00419571102059364,"Greenland","NA__NA"
"Pakhachi",-0.00202993873406534,"Russia","NA__NA"
"Palana",-0.0025611458582563,"Russia","NA__NA"
"Palatka",-0.00306172334078945,"Russia","NA__NA"
"Palmer",-0.00150478937311207,"United States","NA__NA"
"Paulatuk",-0.00691066418388256,"Canada","NA__NA"
"Peace River",-0.00148974979838435,"Canada","NA__NA"
"Pechora",-0.00215174702851899,"Russia","NA__NA"
"Peregrebnoye",-0.00225139490404284,"Russia","NA__NA"
"Perryville",-0.000545862460251039,"United States","NA__NA"
"Pervouralsk",-0.00138786002396288,"Russia","NA__NA"
"Petite Riviere (Baie Comeau)",-8.31412645797517e-05,"Canada","inactive__Summer"
"Petropavlovsk Kamchatskiy",-0.000454031722673028,"Russia","NA__NA"
"Petrovsk Zabaykalskiy",-0.00148744437078092,"Russia","NA__NA"
"Petrozavodsk",-0.00161712253285696,"Russia","NA__NA"
"Pevek",-0.00412220827514538,"Russia","NA__NA"
"Pilot Point",-0.000936736573487406,"United States","NA__NA"
"Plotnikovo",-0.00164422642857288,"Russia","inactive__Summer"
"Polevskoy",-0.00203925478686579,"Russia","NA__NA"
"Polish Polar Station Hornsund",-0.00102771722570828,"Svalbard/Poland","NA__NA"
"Polyarnyy",-0.00162892511420455,"Russia","NA__NA"
"Poronaysk",-0.009834954937337,"Russia","NA__NA"
"Port Burwell",-0.00222454241032259,"Canada","NA__NA"
"Port Heiden",-0.00105510689999414,"United States","NA__NA"
"Port Hope Simpson",-0.000396837654532984,"Canada","NA__NA"
"Port-Menier",-0.000525885292644372,"Canada","NA__NA"
"Prince Albert (BOREAS)",-0.00127356246943006,"Canada","inactive__Summer"
"Provideniya",-0.00260399545436514,"Russia","NA__NA"
"Prudhoe Bay Wet Sedge",-0.000114398319685045,"United States","inactive__Summer"
"Pukatawagan",-0.00111337956716948,"Canada","NA__NA"
"Put Lenina",-0.0162238078562562,"Russia","NA__NA"
"Qaanaaq",-0.00401976455453124,"Greenland","NA__NA"
"Qaqortoq",-0.0040737476438826,"Greenland","NA__NA"
"Qasigiannguit",-0.00184027995570738,"Greenland","NA__NA"
"Quebec - 1975 Harvested Black Spruce (HBS75)",-0.00469830412752926,"Canada","inactive__Summer"
"Quinhagak",-0.000946509839181173,"United States","NA__NA"
"Rankin Inlet",-0.00626815120526609,"Canada","NA__NA"
"Red Devil",-0.00624159539629227,"United States","NA__NA"
"Red Lake",-0.00134082394501529,"Canada","NA__NA"
"Rif Field Station",-0.00223698539906689,"Iceland","NA__NA"
"Rigolet",-0.000817418186801126,"Canada","NA__NA"
"Rostov",-0.000861734938180877,"Russia","NA__NA"
"Rouyn-Noranda",-0.000774451066243114,"Canada","NA__NA"
"Rovaniemi",-0.000919559210098008,"Finland","NA__NA"
"Rusanovo",-0.00204019444421855,"Russia","NA__NA"
"Rybinsk",-0.000139956967308901,"Russia","NA__NA"
"Rylekaerene Zackenberg",-0.00173651744056709,"Greenland","inactive__Summer"
"Sag Riverside",-0.000232611653730795,"United States","inactive__All year"
"Sagastyr",-0.00182276406159837,"Russia","NA__NA"
"Salekhard",-0.00192417598265167,"Russia","NA__NA"
"Salluit",-0.00253369038791995,"Canada","NA__NA"
"Salmisuo",-0.00143466316476173,"Finland","inactive__Summer"
"Samoylov, floodplain",-0.00146065113404095,"Russia","inactive__Summer"
"Sand Point",-0.00178574016382067,"United States","NA__NA"
"Sangar",-0.01042349358261,"Russia","NA__NA"
"Saranpaul",-0.00232256762290076,"Russia","NA__NA"
"Saskatchewan - Western Boreal, forest burned in 1977",-0.000819306410304051,"Canada","inactive__Summer"
"Saskatchewan - Western Boreal, forest burned in 1989",-0.00203215549572861,"Canada","inactive__Summer"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.00265624629529138,"Canada","inactive__Summer"
"Saskylakh",-0.0120834098672432,"Russia","NA__NA"
"Sauðárkrókur",-0.000368820503262234,"Iceland","NA__NA"
"Savissivik",-0.00856834090821547,"Greenland","NA__NA"
"Savonlinna",-0.00101739516861938,"Finland","NA__NA"
"Schefferville",-0.00209188922206576,"Canada","NA__NA"
"Segezha",-0.00355577704222861,"Russia","NA__NA"
"Seida",-0.0023833680193388,"Russia","inactive__Summer"
"Selawik",-0.00041924052782419,"United States","NA__NA"
"Selkirk",-0.000505769504947769,"Canada","NA__NA"
"Sept-Îles",-0.00149619650193951,"Canada","NA__NA"
"Serov",-0.000978506027108068,"Russia","NA__NA"
"Severo Kurilsk",-0.00117763310800077,"Russia","NA__NA"
"Severodvinsk",-0.00104658767754204,"Russia","NA__NA"
"Severomorsk",-0.00348654825163085,"Russia","NA__NA"
"Severouralsk",-0.000798042500678733,"Russia","NA__NA"
"Shalaurova",-0.00204631874009573,"Russia","NA__NA"
"Shamattawa",-0.00318904167427251,"Canada","NA__NA"
"Sharya",-0.00125824750307314,"Russia","NA__NA"
"Shishmaref",-0.00170595401247817,"United States","NA__NA"
"Shuya",-0.0026996301774312,"Russia","NA__NA"
"Siglan",-0.0016196466159403,"Russia","NA__NA"
"Siikaneva-2 Bog",-0.00086336568095667,"Finland","inactive__Summer"
"Sioux Lookout",-0.00974213977854041,"Canada","NA__NA"
"Sisimiut",-0.00228204322116491,"Greenland","NA__NA"
"Skagway",-0.000869544853978986,"United States","NA__NA"
"Skien",-0.000894320543153002,"Norway","NA__NA"
"Skyttorp",-0.000207713324103815,"Sweden","inactive__Summer"
"Slobodskoy",-0.00131939471430917,"Russia","NA__NA"
"Slyudyanka",-0.00977012327510387,"Russia","NA__NA"
"Sokol",-0.00125433759029657,"Russia","NA__NA"
"Solikamsk",-0.000605448382835613,"Russia","NA__NA"
"Soontaga",-0.000339767736699501,"Estonia","inactive__All year"
"Sosnogorsk",-0.00163372933253012,"Russia","NA__NA"
"Southern Khentei Taiga",-0.00870438306511636,"Mongolia","inactive__All year"
"Southern Old Black Spruce",-0.00122472005051899,"Canada","inactive__Summer"
"Sovetsk",-0.000475513734313317,"Russia","NA__NA"
"Sovetskaya Gavan",-0.00350050828502771,"Russia","NA__NA"
"Srednekolymsk",-0.0067585754676016,"Russia","NA__NA"
"St-Augustin",-0.000201929768988863,"Canada","NA__NA"
"St. Anthony",-0.000432302139701298,"Canada","NA__NA"
"St. John's",-0.000185161738631031,"Canada","NA__NA"
"St. Petersburg",-0.000341681135685514,"Russia","NA__NA"
"Starorybnoye",-0.00412217031458604,"Russia","NA__NA"
"Steinkjer",-0.00251714979934904,"Norway","NA__NA"
"Stony Rapids",-0.0026565797164337,"Canada","NA__NA"
"Stordalen forest",-8.46506341135916e-05,"Sweden","inactive__Summer"
"Strelka",-0.00399591664997314,"Russia","NA__NA"
"Strezhevoy",-0.00118042814833111,"Russia","NA__NA"
"Sudurnes Science and Learning Center",-0.00169656998096686,"Iceland","NA__NA"
"Sundsvall",-0.000683448284686082,"Sweden","NA__NA"
"Suntar",-0.00257120026278428,"Russia","NA__NA"
"Surgut",-0.000515002035114271,"Russia","NA__NA"
"Susuman",-0.023002158928869,"Russia","NA__NA"
"Svetogorsk",-0.00645346246537535,"Russia","NA__NA"
"Taksimo",-0.00456539360830863,"Russia","NA__NA"
"Talkeetna",-0.00327506448019938,"United States","NA__NA"
"Taloyoak",-0.00117030140936081,"Canada","NA__NA"
"Tanacross",-0.00281967371642286,"United States","NA__NA"
"Tanana",-0.00121558111218301,"United States","NA__NA"
"Tasiilaq",-0.00114049790972945,"Greenland","NA__NA"
"Tasiusaq",-0.00683923183509465,"Greenland","NA__NA"
