"sitename","means","country","stats","type"
"Montana",-0.0158430419744909,"United States","new","NA__NA"
"NEON Delta Junction (DEJU)",-0.0145633419378372,"USA","existing","active__Summer"
"Natara",-0.0289848052857572,"Russia","new","NA__NA"
"Nelegel",-0.0106059015795675,"Russia","existing","inactive__Summer"
"Neleger Burnt Forest",-0.0105592179419946,"Russia","existing","inactive__Summer"
"Neleger Cutover",-0.0111099396140103,"Russia","existing","inactive__Summer"
"Neleger larch forest",-0.0106059015795675,"Russia","existing","inactive__Summer"
"Neryungri",-0.0182541746735175,"Russia","new","NA__NA"
"Nizhneyansk",-0.0182500345393354,"Russia","new","NA__NA"
"Nord",-0.0247534605391712,"Denmark","new","NA__NA"
"Nyukzha",-0.013682254548855,"Russia","new","NA__NA"
"Olenek",-0.0173253468301633,"Russia","new","NA__NA"
"Omchak",-0.0120447760287334,"Russia","new","NA__NA"
"Omolon",-0.0225507404560928,"Russia","new","NA__NA"
"Omsukchan",-0.0244569145313719,"Russia","new","NA__NA"
"Oymyakon",-0.0155870970881796,"Russia","new","NA__NA"
"Paulatuk",-0.0123144634915897,"Canada","new","NA__NA"
"Poronaysk",-0.0153650786599224,"Russia","new","NA__NA"
"Put Lenina",-0.0189442455701192,"Russia","new","NA__NA"
"Resolute Bay",-0.0202712860658354,"Canada","existing","active__Summer"
"Sangar",-0.0126931835876011,"Russia","new","NA__NA"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0170383963446341,"Canada","existing","inactive__Summer"
"Saskylakh",-0.0148997339917732,"Russia","new","NA__NA"
"Savissivik",-0.0228440432103246,"Denmark","new","NA__NA"
"Sioux Lookout",-0.0274307438978188,"Canada","new","NA__NA"
"Slavin Watershed TWO",-0.015027494821707,"Canada","existing","active__Summer"
"Slyudyanka",-0.0196448776337824,"Russia","new","NA__NA"
"Southern Old Aspen (BERMS)",-0.0147919289071397,"Canada","existing","active__Summer"
"Spasskaya Pad (experimental forest)",-0.0161717388653325,"Russia","existing","active__Summer"
"Spasskaya Pad, Larch",-0.0133793052618689,"Russia","existing","active__Summer"
"Suntar",-0.00796366623529267,"Russia","new","NA__NA"
"Susuman",-0.0260214872085433,"Russia","new","NA__NA"
"Terbyas",-0.0137704175206906,"Russia","new","NA__NA"
"Tobolsk",-0.0133643258981897,"Russia","new","NA__NA"
"Tunguskhaya",-0.0259419923975409,"Russia","new","NA__NA"
"Tynda",-0.0239050538990105,"Russia","new","NA__NA"
"UCI-1850 burn site",-0.0145491821894781,"Canada","existing","inactive__Summer"
"UCI-1930 burn site",-0.0158982993088412,"Canada","existing","inactive__Summer"
"UCI-1981 burn site",-0.0173284504211813,"Canada","existing","inactive__Summer"
"UCI-1989 burn site",-0.0186023358813651,"Canada","existing","inactive__Summer"
"UCI-1998 burn site",-0.0223941044084982,"Canada","existing","inactive__Summer"
"Udachnyy",-0.0243027965903792,"Russia","new","NA__NA"
"Ust Kut",-0.02258031001902,"Russia","new","NA__NA"
"Ust Kuyga",-0.0327741335517962,"Russia","new","NA__NA"
"Ust Nera",-0.0175378822545517,"Russia","new","NA__NA"
"Utikuma Region, Northern Study Area",-0.0169932967746615,"Canada","existing","inactive__Summer"
"Utkholok",-0.0188543325063283,"Russia","new","NA__NA"
"Villum Research Station (VRS)",-0.0147205194280197,"Greenland (Denmark)","new","NA__NA"
"Vitim",-0.0207089922264616,"Russia","new","NA__NA"
"Wiseman",-0.0218415286781863,"United States","new","NA__NA"
"Yakutsk-Larch",-0.0158065799255113,"Russia","existing","inactive__Summer"
"Yakutsk-Pine",-0.0166806084364449,"Russia","existing","active__Summer"
"Zhilinda",-0.0271749128719519,"Russia","new","NA__NA"
