"sitename","means","country","rank","stats"
"CEN Salluit Research Station",-0.0178613786067935,"Canada ",106,"new"
"CEN Whapmagoostui-Kuujjuarapik Research Station",-0.00842166882808254,"Canada ",225,"new"
"Cape Bounty",-0.0315941240157815,"Canada",30,"existing"
"Cape Dorset",-0.0309605150671843,"Canada",34,"new"
"Cascade Ridge",-0.00329553514697221,"USA",369,"existing"
"Cat Lake",-0.022685446304349,"Canada",73,"new"
"Chegdomyn",-0.0412685254471068,"Russia",12,"new"
"Chelyuskin",-0.0135250018413895,"Russia",160,"new"
"Cherepovets",-0.00122609459399602,"Russia",527,"new"
"Chernyshevskiy",-0.00089364222481028,"Russia",563,"new"
"Chevery",-0.0017584620847755,"Canada",476,"new"
"Chicoutimi",-0.0053927030148844,"Canada",288,"new"
"China Iceland Arctic  Observatory  CIAO",-0.00198748152841208,"Iceland",452,"new"
"Chita",-0.00116556062388254,"Russia",538,"new"
"Chukotka",-0.00152991928006631,"Russia",502,"existing"
"Chumikan",-0.0145023979311445,"Russia",142,"new"
"Churchill Falls",-0.0102082209401459,"Canada",197,"new"
"Chusovoy",-0.00126692921494853,"Russia",523,"new"
"Circle",-0.00836379180664478,"United States",227,"new"
"Cochrane",-0.0236782388208432,"Canada",66,"new"
"Cold Bay",-0.00627909298941713,"United States",267,"new"
"Council, Alaska",-0.00309940513769875,"USA",382,"existing"
"DMI Geophysical Observatory Qaanaaq",-0.0196615262977254,"Greenland/Denmark",90,"new"
"Daring Lake",-0.00158712416917198,"Canada",497,"existing"
"Daring Lake (dwarf shrub)",-0.00817861198831343,"Canada",233,"existing"
"Daring Lake (low shrub)",-0.0175606248054767,"Canada",109,"existing"
"Dasan Station site",-0.0202057907172434,"Norway",87,"existing"
"Dawson Creek",-0.00264159898028651,"Canada",412,"new"
"Dease Lake",-0.0269439290393773,"Canada",51,"new"
"Deer Lake",-0.00244171371820687,"Canada",426,"new"
"Dikson",-0.00181272206554804,"Russia",469,"new"
"Dillingham",-0.00417004691053869,"United States",335,"new"
"Disko",-0.0181814490513954,"Greenland",101,"existing"
"Dolbeau",-0.0136787968471706,"Canada",158,"new"
"Doline",-0.00782958613680065,"Canada",241,"new"
"Dolinsk",-0.0126067236862583,"Russia",169,"new"
"Dudinka",-0.00166178121890684,"Russia",488,"new"
"Eagle",-0.00510516649650969,"United States",295,"new"
"Eastern Old Black Spruce (EOBS)",-0.0152905381100557,"Canada",131,"existing"
"Eastmain",-0.0161693069868915,"Canada",124,"new"
"Egvekinot",-0.0241221088958488,"Russia",64,"new"
"Eldikan",-0.0144454892972571,"Russia",145,"new"
"Elgeeii",-0.0113931782498868,"Russia",182,"existing"
"Emmonak",-0.0027896876424941,"United States",405,"new"
"Ennadai",-0.0311306002706095,"Canada",33,"new"
"Enurmino",-0.00496706094954922,"Russia",302,"new"
"Evensk",-0.00671405631125973,"Russia",256,"new"
"False Pass",-0.00250284249297461,"United States",418,"new"
"Finse",-0.00632353848651604,"Norway",264.5,"existing"
"Finse Mobile",-0.00632353848651604,"Norway",264.5,"existing"
"Flakaliden",-0.00112703773957503,"Sweden",543,"existing"
"Flashline Mars Arctic Research Station",-0.012414278367162,"Canada",170,"new"
"Flin Flon",-0.0019467382601674,"Canada",459,"new"
"Fort Chipewyan",-0.007093419281135,"Canada",249,"new"
"Fort Good Hope",-0.0266907407835419,"Canada",52,"new"
"Fort McMurray",-0.00168148036023653,"Canada",487,"new"
"Fort McPherson",-0.00429700419932086,"Canada",326,"new"
"Fort Nelson",-0.0294789669186557,"Canada",41,"new"
"Fort Resolution",-0.00269289696998432,"Canada",410,"new"
"Fort Severn",-0.00505888513887511,"Canada",298,"new"
"Fort Smith",-0.00288660909898975,"Canada",395,"new"
"Fort St. John",-0.00083097219276015,"Canada",569,"new"
"Fort Yukon",-0.00575739012662015,"United States",281,"new"
"Forteau",-0.000526424374429679,"Canada",590,"new"
"Galena",-0.00307581892067231,"United States",385,"new"
"Gambell",-0.0177262628391466,"United States",108,"new"
"Gander",-0.000244316812043023,"Canada",598,"new"
"Geraldton",-0.0167394905944016,"Canada",118,"new"
"Gimli",-0.000898657632694168,"Canada",562,"new"
"Gjoa Haven",-0.00882389492915162,"Canada",217,"new"
"Glazov",-0.00481758911964334,"Russia",309,"new"
"Goodnews Bay",-0.00173216266113064,"United States",481,"new"
"Govorovo",-0.0515642569627306,"Russia",5,"new"
"Grand Prairie",-0.00182868737848553,"Canada",468,"new"
"Grise Fiord",-0.0249814060321313,"Canada",55,"new"
"Groundhog River",-0.0151939323889717,"Canada",133,"existing"
"Gubakha",-0.0153176467460958,"Russia",130,"new"
"Gulkana",-0.0204260273993477,"United States",85,"new"
"Gunnarsholt",-0.00585441550332172,"Iceland",279,"existing"
"Gyda",-0.0046249034020208,"Russia",315,"new"
"HJP02 Jack Pine",-0.00114126500655821,"Canada",541.5,"existing"
"HJP75 Jack Pine",-0.00207343765146926,"Canada",446.5,"existing"
"HJP94 Jack Pine",-0.00180791105948955,"Canada",470,"existing"
"Hakasia 10 yr",-0.00220982922527274,"Russia",440,"existing"
"Hakasia 5yr",-0.00244273685714047,"Russia",425,"existing"
"Hakasia Steppe",-0.00285199742749383,"Russia",399,"existing"
"Hall Beach",-0.00151123751187255,"Canada",505,"new"
"Hammerfest",-0.0116864677352685,"Kingdom of Norway",177,"new"
"Happy Valley",-0.00112099747283455,"USA",544,"existing"
"Happy Valley - Goose Bay",-0.00316779065717226,"Canada",378,"new"
"Hay River",-0.0179033386393563,"Canada",105,"new"
"Hearst",-0.0314737820860828,"Canada",31,"new"
"Holman",-0.0320218955299002,"Canada",27,"new"
"Hooper Bay",-0.00120582784888661,"United States",531,"new"
"Hopedale",-0.00792607046596085,"Canada",240,"new"
"Hudson Bay",-0.0146391120398967,"Canada",138,"new"
"Hughes",-0.00136291043974081,"United States",516,"new"
"Hurdal",-0.00100497287165768,"Norway",557,"existing"
"Hustai grassland",-0.000158001614890304,"Mongolia",600,"existing"
"Hyltemossa",-0.000834931119224687,"Sweden",568,"existing"
"Hyytiaelae Clear Cut",-0.00104970553225534,"Finland",554,"existing"
"Härnösand",-0.00559363000938859,"Sweden",283,"new"
"Höfn",-0.00274883633600951,"Iceland",409,"new"
"Igloolik",-0.00148191993598566,"Canada",507,"new"
"Igloolik Research Center ",-0.0330974850829319,"Nunavut/Canada",24,"new"
"Igrim",-0.00119226748390231,"Russia",533,"new"
"Indiga",-0.00247614429077898,"Russia",422,"new"
"Inta",-0.00197498935293859,"Russia",457,"new"
"Inukjuak",-0.0217735308959726,"Canada",78,"new"
"Irkutsk",-0.000864455345764483,"Russia",567,"new"
"Island Lake",-0.0390274680504475,"Canada",14,"new"
"Ittoqqortoormiit",-0.018132251248122,"Denmark",102,"new"
"Ivdel",-0.00308065863806109,"Russia",384,"new"
"Ivugivik",-0.02980599887656,"Canada",39,"new"
"Jokioinen agricultural field",-0.00604835082348607,"Finland",273,"existing"
"Juneau",-0.00133950567987482,"United States",518,"new"
"Kainuu Fisheries Research Station",-0.0015926516179068,"Finland",495,"new"
"Kalevansuo",-0.00123637894421252,"Finland",526,"existing"
"Kaltag",-0.00327670278661835,"United States",370,"new"
"Kamensk Uralskiy",-0.00111430876438036,"Russia",546,"new"
"Kangerlussuaq",-0.0191933683620233,"Denmark",97,"new"
"Kangirsuk",-0.023262639824612,"Canada",69,"new"
"Kapuskasing",-0.00575994756196991,"Canada",280,"new"
"Karamken",-0.00714149278392469,"Russia",247,"new"
"Karluk",-0.00433465775536639,"United States",325,"new"
"Karpinsk",-0.00184407338246058,"Russia",467,"new"
"Kavache",-0.0390690772106321,"Russia",13,"new"
"Keflavík",-0.00708678128725596,"Iceland",250,"new"
"Kem",-0.00179034522773749,"Russia",471,"new"
"Kenttarova",-0.00467045422157075,"Finland",314,"existing"
"Khakhar",-0.0319261313283782,"Russia",28,"new"
"Khandyga",-0.0100643063710021,"Russia",201,"new"
"Khanymey",-0.00447068349223963,"Russia",318,"new"
"Khatanga",-0.00426151208224288,"Russia",330,"new"
"Kherlenbayan Ulaan",-0.000357714923238779,"Mongolia",596,"existing"
"Khibiny Educational and Scientific Station ",-0.00333142085645384,"Russia ",367,"new"
"Khilok",-0.00300192623430424,"Russia",388,"new"
"Khorgo",-0.00763719024089292,"Russia",243,"new"
"Kilpisjaervi",-0.00198558137403223,"Finland",453,"existing"
"Kimmirut",-0.027210890323646,"Canada",50,"new"
"Kineshma",-0.00508510103506816,"Russia",296,"new"
"King Salmon",-0.00327592517641711,"United States",371,"new"
"Kinoje Lake",-0.00600689751679538,"Canada",277,"existing"
"Kirensk",-0.0038838521278856,"Russia",345,"new"
"Kirov",-0.000810244862484059,"Russia",571,"new"
"Kirovo-Chepetsk",-0.00617040574533679,"Russia",269,"new"
"Kirovsk",-0.00833790827425535,"Russia",229,"new"
"Kirs",-0.024826746043635,"Russia",58,"new"
"Kivalina",-0.00308258608187064,"United States",383,"new"
"Kizel",-0.0108991511481765,"Russia",189,"new"
"Kluane Lake Research Station",-0.00633243924236866,"Canada ",263,"new"
"Klyuchi",-0.0115690567562043,"Russia",178,"new"
"Knottasen",-0.000595731821269323,"Sweden",586,"existing"
"Kobbefjord",-0.0100049857094023,"Greenland",205,"existing"
"Kobuk",-0.000465844054170788,"United States",593,"new"
"Kodiak",-0.00296821443097669,"United States",390,"new"
"Kodinskiy",-0.0132395279653456,"Russia",165,"new"
"Kogalym",-0.00956522188883508,"Russia",210,"new"
"Kokkola",-0.00383446002155577,"Finland",346,"new"
"Kolpashevo",-0.00231587785268762,"Russia",434,"new"
"Kolpino",-0.00369543292430252,"Russia",352,"new"
"Komsomolsk na Amure",-0.00316624393068701,"Russia",379,"new"
"Korsakov",-0.00176512648180736,"Russia",473,"new"
"Kostroma",-0.00107035456509618,"Russia",551,"new"
"Kotelnich",-0.00495967128924014,"Russia",303,"new"
"Kotlas",-0.00411868212359156,"Russia",336,"new"
"Kotlit",-0.00170706188272564,"United States",484,"new"
"Kovda",-0.00174998940199918,"Russia",478,"new"
"Koyuk",-0.00365249321870721,"United States",355,"new"
"Koyukuk",-0.00160507848351262,"United States",494,"new"
"Krasnokamsk",-0.001183045637019,"Russia",535,"new"
"Krasnoturinsk",-0.0345770070742205,"Russia",22,"new"
"Krasnouralsk",-0.00300915202238245,"Russia",387,"new"
"Kudymkar",-0.00894744270189594,"Russia",215,"new"
"Kugluktuk",-0.00460348293020888,"Canada",316,"new"
"Kullorsuaq",-0.0138462628348916,"Denmark",154,"new"
"Kulusuk",-0.00891810662705359,"Denmark",216,"new"
"Kumpula",-0.000908641792879619,"Finland",561,"existing"
"Kuujjuarapik",-0.0111182438887281,"Canada",186,"new"
"Kyshtym",-0.00223863455462682,"Russia",439,"new"
"La Biche River",-0.0169559971092031,"Canada",114,"existing"
"La Sarre",-0.00365811134339629,"Canada",353,"new"
"La Scie",-0.000885396772458567,"Canada",564,"new"
"Labrador City",-0.00513774248003996,"Canada",294,"new"
"Lac Le Caron",-0.00651540549769463,"Canada",260,"existing"
"Lake Minchumina",-0.00752105183018109,"United States",244,"new"
"Lammin-Suo Peatland Station",-0.00111526966397053,"Russia",545,"new"
"Lansdowne House",-0.0139236520727976,"Canada",152,"new"
"Laryak",-0.00213291328132054,"Russia",443,"new"
"Lensk",-0.00173402159129168,"Russia",480,"new"
"Lesosibirsk",-0.00124352764606311,"Russia",525,"new"
"Lettosuo",-0.000819742671560062,"Finland",570,"existing"
"Litla-Skard ",-0.00344913263626192,"Iceland ",362,"new"
"Ljusdal_HY",-0.00279119915323334,"Sweden",404,"existing"
"Ljusdal_SLM",-0.00445845709912225,"Sweden",319,"existing"
"Logashkino",-0.00171784995380161,"Russia",483,"new"
"Luga",-0.0011792665142537,"Russia",536,"new"
"Lutselke",-0.00266911013086384,"Canada",411,"new"
"Maaninka",-0.00818154283024376,"Finland",232,"existing"
"Mader",-0.00314482828224912,"Finland",380,"existing"
"Magadan",-0.00998799097555698,"Russia",206,"new"
"Makarov",-0.00227848968548667,"Russia",435,"new"
"Manily",-0.0167267784251771,"Russia",119,"new"
"Manitoba, Northern Old Black Spruce (BOREAS)",-0.0122431304744354,"Canada",173,"existing"
"Marathon",-0.00903503223984719,"Canada",214,"new"
"Marcell Experimental Forest",-0.00545269184326644,"USA",287,"existing"
"Matagami",-0.024737949726769,"Canada",60,"new"
"McGrath",-0.00189628559473207,"United States",461,"new"
"Meadow Lake",-0.00176030867382108,"Canada",475,"new"
"Megion",-0.0113622590784218,"Russia",183,"new"
"Mekoryuk",-0.0100138107512684,"United States",204,"new"
"Menkere",-0.0607573228969455,"Russia",1,"new"
"Mezen",-0.00305206673323747,"Russia",386,"new"
"Miass",-0.00291502521202092,"Russia",394,"new"
"Mikkeli",-0.00108398041875081,"Finland",549,"new"
"Mirnyy",-0.000585277360557678,"Russia",588,"new"
"Mo i Rana",-0.00793171253817786,"Kingdom of Norway",239,"new"
"Mogocha",-0.0134154727854847,"Russia",163,"new"
"Molde",-0.00348914905492222,"Kingdom of Norway",359,"new"
"Monchegorsk",-0.0173555948039316,"Russia",110,"new"
"Mongolia",-0.00352803191911999,"Mongolia",356.5,"existing"
"Montana",-0.0157185685044787,"United States",126,"new"
"Montmorency Forest juvenile",-6.74489107119472e-05,"Canada",605,"existing"
"Montmorency Forest sapling",-0.000111731901535844,"Canada",602,"existing"
"Mukhomornoye",-0.0103995562701273,"Russia",192,"new"
"Mukhrino",-0.0080818681144989,"Russia",236,"existing"
"Murmansk",-0.00993672482277806,"Russia",207,"new"
"NEON Barrow Environmental Observatory (BARR)",-0.000141634760654523,"USA",601,"existing"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",-0.00280301027802011,"USA",402,"existing"
"NEON Delta Junction (DEJU)",-0.0332141349152377,"USA",23,"existing"
"NEON Healy (HEAL)",-0.00449231683416337,"USA",317,"existing"
"NEON Toolik (TOOL)",-0.000600454208764947,"USA",585,"existing"
"Nadym",-0.00517967143501934,"Russia",293,"new"
"Nain",-0.00370289393839743,"Canada",350,"new"
"Nalaikh grassland",-0.000590657278894276,"Mongolia",587,"existing"
"Namsos",-0.00422057367671603,"Kingdom of Norway",334,"new"
"Narsarsuaq",-0.011201447625026,"Denmark",184,"new"
"Naryan Mar",-0.00321465434042605,"Russia",376,"new"
"Natara",-0.0530849352062815,"Russia",4,"new"
"Natashquan",-0.00162824247937567,"Canada",492,"new"
"Naujaat",-0.0362208208605021,"Canada",17,"new"
"Nefteyugansk",-0.00504497243316173,"Russia",299,"new"
"Nelegel",-0.0150981849661984,"Russia",134.5,"existing"
"Neleger",-0.000210162711986201,"Russia",599,"existing"
"Neleger Burnt Forest",-0.0163318852901229,"Russia",122,"existing"
"Neleger Cutover",-0.0161736939025219,"Russia",123,"existing"
"Neleger larch forest",-0.0150981849661984,"Russia",134.5,"existing"
"Nerchinsk",-0.00197528761074805,"Russia",456,"new"
"Neryungri",-0.0365012850899819,"Russia",16,"new"
"Nevyansk",-0.00133986245131503,"Russia",517,"new"
"Newhalen",-0.00159261942168128,"United States",496,"new"
"Nibio Svanhovd Research Station ",-0.00253574362538944,"Norway ",416,"new"
"Nikel",-0.0165540311473006,"Russia",120,"new"
"Nikolski",-0.00435841413461283,"United States",324,"new"
"Nipigon",-0.0131972821900697,"Canada",166,"new"
"Nizhenvartovsk",-0.00330457292441734,"Russia",368,"new"
"Nizhneudinsk",-0.00170315722640227,"Russia",485,"new"
"Nizhneyansk",-0.0247978240152588,"Russia",59,"new"
"Nizhny Tagil",-0.00438520134319458,"Russia",323,"new"
"Nizhnyaya Tura",-0.0042224218639739,"Russia",333,"new"
"Noginsk",-0.00929337445061234,"Russia",213,"new"
"Nogliki",-0.00949362644446381,"Russia",212,"new"
"Nord",-0.0314238453616341,"Denmark",32,"new"
"Nordvik",-0.00392389718559626,"Russia",343,"new"
"Norilsk",-0.010219226545372,"Russia",195,"new"
"Norman Wells",-0.00631391894704358,"Canada",266,"new"
"Norunda",-0.00121901428915966,"Sweden",528,"existing"
"Norway House",-0.0147121074951313,"Canada",137,"new"
"Novy Urengoy",-0.000581831797179569,"Russia",589,"new"
"Novyy Uoyin",-0.0047881083488061,"Russia",311,"new"
"Noyabrsk",-0.00862057649957571,"Russia",221,"new"
"Numto",-0.00280993289403983,"Russia",401,"new"
"Numto Park Station",-0.00819824762736233,"Russia ",230,"new"
"Nuuk Fen",-0.0099004024579183,"Greenland",208,"existing"
"Nyac",-0.00684190153730058,"United States",251,"new"
"Nyagan",-0.00115425443125266,"Russia",540,"new"
"Nyukzha",-0.0286976240360283,"Russia",44,"new"
"Okha",-0.00504221043131241,"Russia",300,"new"
"Okhotsk",-0.00604319891779844,"Russia",274,"new"
"Oktyabrskiy",-0.00170138952043956,"Russia",486,"new"
"Olenek",-0.0321466278225433,"Russia",26,"new"
"Olyokminsk",-0.00602352546342647,"Russia",276,"new"
"Omchak",-0.0207920935420955,"Russia",84,"new"
"Omolon",-0.0425631785947524,"Russia",11,"new"
"Omsukchan",-0.0279820406661907,"Russia",47,"new"
"Omutninsk",-0.00161281758722189,"Russia",493,"new"
"Onega",-0.00799877771962545,"Russia",237,"new"
"Orotuk Field Station",-0.0137114145094369,"Russia",157,"new"
"Oulu",-0.00672181182914649,"Finland",255,"new"
"Oxford House",-0.00553786975723365,"Canada",286,"new"
"Oymyakon",-0.0246386825053485,"Russia",63,"new"
"Paamiut",-0.0123670323568528,"Denmark",171,"new"
"Pakhachi",-0.00285493436151909,"Russia",398,"new"
"Palana",-0.00395218296090161,"Russia",342,"new"
"Palatka",-0.0123387022331073,"Russia",172,"new"
"Palmer",-0.00242444468278796,"United States",429,"new"
"Paulatuk",-0.0198655127474038,"Canada",89,"new"
"Peace River",-0.00322730028515893,"Canada",375,"new"
"Pechora",-0.00389405604492669,"Russia",344,"new"
"Peregrebnoye",-0.00317637598644612,"Russia",377,"new"
"Perryville",-0.00126397853814199,"United States",524,"new"
"Pervouralsk",-0.00185335978940332,"Russia",465,"new"
"Petite Riviere (Baie Comeau)",-0.00188943939533769,"Canada",462,"existing"
"Petropavlovsk Kamchatskiy",-0.00138169365619878,"Russia",515,"new"
"Petrovsk Zabaykalskiy",-0.00346427183797743,"Russia",361,"new"
"Petrozavodsk",-0.00277278397553737,"Russia",406,"new"
"Pevek",-0.00484973691003169,"Russia",308,"new"
"Pilot Point",-0.0024158836683169,"United States",430,"new"
"Poker Flat Research (fire scar succession)",-0.00397292477175429,"USA",339,"existing"
"Poker Flat Research Range Black Spruce Forest",-0.00131973163405146,"USA",521,"existing"
"Polevskoy",-0.00247778456730024,"Russia",421,"new"
"Polish Polar Station Hornsund",-0.0110716220232441,"Svalbard/Poland",187,"new"
"Polyarnyy",-0.00856547874622876,"Russia",223,"new"
"Poronaysk",-0.0194949860271879,"Russia",95,"new"
"Port Burwell",-0.0142808668080686,"Canada",147,"new"
"Port Heiden",-0.0029270940524394,"United States",393,"new"
"Port Hope Simpson",-0.000686987112422383,"Canada",578,"new"
"Port-Menier",-0.00253409322480723,"Canada",417,"new"
"Prince Albert (BOREAS)",-0.0169391673039284,"Canada",115,"existing"
"Provideniya",-0.0208543796825421,"Russia",83,"new"
"Pukatawagan",-0.00261782222736967,"Canada",414,"new"
"Put Lenina",-0.0346720502863095,"Russia",21,"new"
"Qaanaaq",-0.0153451095256174,"Denmark",129,"new"
"Qaqortoq",-0.0115524738258195,"Denmark",180,"new"
"Qasigiannguit",-0.0138727601287199,"Denmark",153,"new"
"Quebec - 1975 Harvested Black Spruce (HBS75)",-0.00798014921194212,"Canada",238,"existing"
"Quinhagak",-0.00145136411282488,"United States",508,"new"
"Qvidja",-0.00109421060802363,"Finland",548,"existing"
"Rankin Inlet",-0.0109995359835036,"Canada",188,"new"
"Ranskalankorpi",-0.000774512738989012,"Finland",574,"existing"
"Red Devil",-0.015630157099526,"United States",127,"new"
"Red Lake",-0.0145476718406472,"Canada",141,"new"
"Rif Field Station",-0.00720011958908775,"Iceland",245,"new"
"Rigolet",-0.00207088162453332,"Canada",449,"new"
"Rosinedal-3",-0.0021735567150191,"Sweden",442,"existing"
"Rosinedalsheden (control)",-0.00066402048112733,"Sweden",579,"existing"
"Rosinedalsheden (fertilized)",-0.00206294743080915,"Sweden",451,"existing"
"Rostov",-0.00173116813561304,"Russia",482,"new"
"Rouyn-Noranda",-0.0100296653147337,"Canada",203,"new"
"Rovaniemi",-0.0066591908642936,"Finland",258,"new"
"Rusanovo",-0.0145012125002208,"Russia",143,"new"
"Rybinsk",-0.00106896523857887,"Russia",552,"new"
"Sagastyr",-0.00280173589809102,"Russia",403,"new"
"Salekhard",-0.0026377557122053,"Russia",413,"new"
"Salluit",-0.0188675184690062,"Canada",98,"new"
"Salmisuo",-0.00298645797489061,"Finland",389,"existing"
"Sammaltunturi",-0.00226689352524135,"Finland",436,"existing"
"Sand Point",-0.0042790544136739,"United States",327,"new"
"Sangar",-0.0246568482235232,"Russia",62,"new"
"Saranpaul",-0.00532290261078142,"Russia",290,"new"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",-0.00207343765146926,"Canada",446.5,"existing"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.00144947252539031,"Canada",509,"existing"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.00114126500655821,"Canada",541.5,"existing"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.0146114397395578,"Canada",139.5,"existing"
"Saskatchewan - Western Boreal, Mature Jack Pine",-0.00243957838960552,"Canada",427,"existing"
"Saskatchewan - Western Boreal, forest burned in 1977",-0.00506458882858828,"Canada",297,"existing"
"Saskatchewan - Western Boreal, forest burned in 1989",-0.0180492057344995,"Canada",104,"existing"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0217117648025475,"Canada",79,"existing"
"Saskylakh",-0.0220330118908369,"Russia",77,"new"
"Sauðárkrókur",-0.00151290551114976,"Iceland",504,"new"
"Savissivik",-0.0291696862060791,"Denmark",43,"new"
"Savonlinna",-0.0049091152658146,"Finland",305,"new"
"Schefferville",-0.00620904181253599,"Canada",268,"new"
"Segezha",-0.00488769506824344,"Russia",306,"new"
"Selawik",-0.00086892305370227,"United States",565,"new"
"Selkirk",-0.000809956985230098,"Canada",572,"new"
"Sept-Îles",-0.00249119126866195,"Canada",419,"new"
"Serov",-0.00165194049224975,"Russia",490,"new"
"Severo Kurilsk",-0.00337336531145251,"Russia",365,"new"
"Severodvinsk",-0.00468375888137561,"Russia",312,"new"
"Severomorsk",-0.0129584665708199,"Russia",167,"new"
"Severouralsk",-0.00246871091692091,"Russia",424,"new"
"Shalaurova",-0.00326861514497939,"Russia",372,"new"
"Shamattawa",-0.00848971313271601,"Canada",224,"new"
"Sharya",-0.00225062022904063,"Russia",438,"new"
"Shishmaref",-0.00519904878485345,"United States",292,"new"
"Shuya",-0.00365711731493437,"Russia",354,"new"
"Siglan",-0.00399074477920867,"Russia",338,"new"
"Sioux Lookout",-0.0302779888982514,"Canada",37,"new"
"Sisimiut",-0.0195591666534534,"Denmark",94,"new"
"Skagway",-0.00333827781538142,"United States",366,"new"
"Skien",-0.00426289123598397,"Kingdom of Norway",329,"new"
"Skyttorp",-0.000987160382320196,"Sweden",559,"existing"
"Skyttorp, young",-0.00184495756048304,"Sweden",466,"existing"
"Slavin Watershed TWO",-0.0230848067073299,"Canada",70,"existing"
"Slobodskoy",-0.00247527983009036,"Russia",423,"new"
"Slyudyanka",-0.0273354146122014,"Russia",49,"new"
"Sodankyla",-0.00424351683265609,"Finland",332,"existing"
"Sokol",-0.00212489185496382,"Russia",445,"new"
"Solikamsk",-0.00140272108759398,"Russia",512,"new"
"Soontaga",-0.000865132665819413,"Estonia",566,"existing"
"Sosnogorsk",-0.00293501911142129,"Russia",392,"new"
