"sitename","means","country","type"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.0010829808490991,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.000790481147930023,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.00961219010424337,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Mature Jack Pine",-0.00170183025224066,"Canada","active_nonmethane_Summer"
"Skyttorp, young",-0.0031165197030821,"Sweden","active_nonmethane_Summer"
"Slavin Watershed TWO",-0.0123111880936155,"Canada","active_nonmethane_Summer"
"Southern Old Aspen (BERMS)",-0.0126585307091323,"Canada","active_nonmethane_Summer"
"Spasskaya Pad (experimental forest)",-0.0162156081661496,"Russia","active_nonmethane_Summer"
"Spasskaya Pad, Larch",-0.0130335553012134,"Russia","active_nonmethane_Summer"
"Stordalen Grassland Mire",-0.000863522005272982,"Sweden","active_methane_Summer"
"Svartberget tall tower 60m",0,"Sweden","active_methane_Summer"
"Tervalamminsuo",-0.00211571634164261,"Finland","active_nonmethane_Summer"
"Trail Valley Creek (lakeside)",-0.000735936086707384,"Canada","active_nonmethane_Summer"
"Trail Valley Creek (tall)",-0.000638371364555269,"Canada","active_nonmethane_Summer"
"Wolf Creek Buckbrush",-0.00338708685110911,"Canada","active_nonmethane_Summer"
"Wolf Creek Sparse Shrub",-0.00297917113836251,"Canada","active_nonmethane_Summer"
"Wolf Creek Upper Forest",-0.00687406730498945,"Canada","active_nonmethane_Summer"
"Yakutsk-Pine",-0.015799657897886,"Russia","active_nonmethane_Summer"
"ZOTTO-Fen EC",-0.00564614741702217,"Russia","active_methane_Summer"
"Zotino East, Birch Stand",-0.00283648049170305,"Russia","active_nonmethane_Summer"
"Zotino East, Mixed Stand",-0.00215334234433274,"Russia","active_nonmethane_Summer"
"Zotino East, Pole Stand",-0.00383274513625386,"Russia","active_nonmethane_Summer"
