"sitename","means","country","stats","type"
"Sangar",-0.00436412376186154,"Russia","new","NA__NA"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0103173857781253,"Canada","existing","inactive__Summer"
"Saskylakh",-0.00472152513329777,"Russia","new","NA__NA"
"Savissivik",-0.0228440432103246,"Denmark","new","NA__NA"
"Sioux Lookout",-0.0155252600605827,"Canada","new","NA__NA"
"Slavin Watershed TWO",-0.012531803627143,"Canada","existing","active__Summer"
"Slyudyanka",-0.0178701714910474,"Russia","new","NA__NA"
"Southern Old Aspen (BERMS)",-0.0115536736742657,"Canada","existing","active__Summer"
"Spasskaya Pad (experimental forest)",-0.015635727858247,"Russia","existing","active__Summer"
"Spasskaya Pad, Larch",-0.0131698386720698,"Russia","existing","active__Summer"
"Suntar",-0.00795746669247348,"Russia","new","NA__NA"
"Susuman",-0.00844211752405673,"Russia","new","NA__NA"
"Terbyas",-0.0135022775565137,"Russia","new","NA__NA"
"Tobolsk",-0.0126189689169791,"Russia","new","NA__NA"
"Tunguskhaya",-0.00720742286139175,"Russia","new","NA__NA"
"Tynda",-0.0237816755838688,"Russia","new","NA__NA"
"UCI-1850 burn site",-0.0143573588813115,"Canada","existing","inactive__Summer"
"UCI-1930 burn site",-0.0156379646030821,"Canada","existing","inactive__Summer"
"UCI-1981 burn site",-0.0172197401800054,"Canada","existing","inactive__Summer"
"UCI-1989 burn site",-0.0182079255563051,"Canada","existing","inactive__Summer"
"UCI-1998 burn site",-0.0220204713785809,"Canada","existing","inactive__Summer"
"Udachnyy",-0.0104449976731597,"Russia","new","NA__NA"
"Ust Kut",-0.021158140720359,"Russia","new","NA__NA"
"Ust Kuyga",-0.014086648505451,"Russia","new","NA__NA"
"Ust Nera",-0.00652276510149677,"Russia","new","NA__NA"
"Utikuma Region, Northern Study Area",-0.013468757656278,"Canada","existing","inactive__Summer"
"Utkholok",-0.0124979395038505,"Russia","new","NA__NA"
"Villum Research Station (VRS)",-0.0147205194280197,"Greenland (Denmark)","new","NA__NA"
"Vitim",-0.0187930456954522,"Russia","new","NA__NA"
"Wiseman",-0.0177685442939944,"United States","new","NA__NA"
"Yakutsk-Larch",-0.0155703011962882,"Russia","existing","inactive__Summer"
"Yakutsk-Pine",-0.0162740126836692,"Russia","existing","active__Summer"
"Zhilinda",-0.00963173021493112,"Russia","new","NA__NA"
