"sitename","means","country","type","stats"
"Neryungri",-0.0168928301331153,"Russia","NA__NA","new"
"Nizhneyansk",-0.00726016396884872,"Russia","NA__NA","new"
"Nord",-0.0277298405818585,"Denmark","NA__NA","new"
"Nyukzha",-0.00975300930401577,"Russia","NA__NA","new"
"Olenek",-0.00354803401390353,"Russia","NA__NA","new"
"Omchak",-0.00594139916390659,"Russia","NA__NA","new"
"Omolon",-0.0088203607968154,"Russia","NA__NA","new"
"Omsukchan",-0.014956352802189,"Russia","NA__NA","new"
"Oymyakon",-0.00394684304490542,"Russia","NA__NA","new"
"Paulatuk",-0.0145092658343788,"Canada","NA__NA","new"
"Poronaysk",-0.0162058802361203,"Russia","NA__NA","new"
"Put Lenina",-0.00493796605267349,"Russia","NA__NA","new"
"Resolute Bay",-0.0265911638231849,"Canada","active__Summer","existing"
"Sangar",-0.00257710427558624,"Russia","NA__NA","new"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0150013500847335,"Canada","inactive__Summer","existing"
"Saskylakh",-0.00473685998294618,"Russia","NA__NA","new"
"Savissivik",-0.0188851215781524,"Denmark","NA__NA","new"
"Sioux Lookout",-0.0240283149205844,"Canada","NA__NA","new"
"Slavin Watershed TWO",-0.0152771543843802,"Canada","active__Summer","existing"
"Slyudyanka",-0.023619033096958,"Russia","NA__NA","new"
"Southern Old Aspen (BERMS)",-0.0172886822632255,"Canada","active__Summer","existing"
"Spasskaya Pad (experimental forest)",-0.0151614239044313,"Russia","active__Summer","existing"
"Spasskaya Pad, Larch",-0.0125820042047503,"Russia","active__Summer","existing"
"Suntar",-0.0082025345200619,"Russia","NA__NA","new"
"Susuman",-0.00432794121267542,"Russia","NA__NA","new"
"Terbyas",-0.0133554860909056,"Russia","NA__NA","new"
"Tobolsk",-0.0144990359050176,"Russia","NA__NA","new"
"Tunguskhaya",-0.0051798366536652,"Russia","NA__NA","new"
"Tura",-0.00821010508245962,"Russia","active__Summer","existing"
"Tynda",-0.0252593686088601,"Russia","NA__NA","new"
"UCI-1850 burn site",-0.0160296496825699,"Canada","inactive__Summer","existing"
"UCI-1930 burn site",-0.0176167390925644,"Canada","inactive__Summer","existing"
"UCI-1981 burn site",-0.0194983786125913,"Canada","inactive__Summer","existing"
"UCI-1989 burn site",-0.0206650322669071,"Canada","inactive__Summer","existing"
"UCI-1998 burn site",-0.0262361871261678,"Canada","inactive__Summer","existing"
"Udachnyy",-0.00660934815248937,"Russia","NA__NA","new"
"Ust Kut",-0.0256428511969824,"Russia","NA__NA","new"
"Ust Kuyga",-0.0107216556441493,"Russia","NA__NA","new"
"Ust Nera",-0.00370425730618583,"Russia","NA__NA","new"
"Utikuma Region, Northern Study Area",-0.0192342515192409,"Canada","inactive__Summer","existing"
"Utkholok",-0.0152550628983035,"Russia","NA__NA","new"
"Villum Research Station (VRS)",-0.0183808210817491,"Greenland (Denmark)","NA__NA","new"
"Vitim",-0.0247832381314538,"Russia","NA__NA","new"
"Wiseman",-0.0214349234958181,"United States","NA__NA","new"
"Yakutsk-Larch",-0.0148202879470952,"Russia","inactive__Summer","existing"
"Yakutsk-Pine",-0.015518341219255,"Russia","active__Summer","existing"
"Zhilinda",-0.00516027801279647,"Russia","NA__NA","new"
