"site","Latitude","Longitude","Season_Activity.2024","methane.2024","pp","towersites"
"Chersky, control",68.6169,161.3509,"All year","methane","PP Supported","PP Supported"
"Chersky, drained",68.613,161.3414,"All year","methane","PP Supported","PP Supported"
"Chokurdakh/Kytalyk",70.8291,147.4943,"Summer","methane","Other","Other network"
"Churchill Fen",58.6658,-93.83,"All year","methane","PP Supported","PP Supported"
"Council (Permafrost Pathways)",64.86138889,-163.7007222,"All year","methane","PP Supported","PP Supported"
"Council, Alaska",64.844,-163.711,"Summer","nonmethane","Other","Other network"
"Daring Lake",64.8689,-111.5748,"Summer","nonmethane","Other","Other network"
"Daring Lake (Fen)",64.8648,-111.5677,"Summer","methane","Other","Other network"
"Daring Lake (dwarf shrub)",64.8722,-111.5486,"Summer","nonmethane","Other","Other network"
"Daring Lake (low shrub)",64.8631,-111.65,"Summer","nonmethane","Other","Other network"
"Daring Lake (mixed tundra)",64.8648,-111.5677,"Summer","methane","Other","Other network"
"Dark conifer site (ZE)",61.0167,89.8167,"All year","methane","Other","Other Year-round"
"Degero Stormyr",64.182,19.5565,"All year","methane","Other","Other Year-round"
"Disko",69.25,-53.51,"Summer","nonmethane","Other","Other network"
"Eight Mile Lake Permafrost thaw gradient, Healy",63.8783,-149.2533,"All year","methane","Other","Other Year-round"
"Faejemyr",56.2655,13.5535,"Summer","methane","Other","Other network"
"Finse",60.5939,7.5272,"Summer","nonmethane","Other","Other network"
"Finse Mobile",60.5939,7.5272,"Summer","nonmethane","Other","Other network"
"Flakaliden",64.1167,19.45,"All year","nonmethane","Other","Other Year-round"
"Focal Campaign Site 1",70.085,-148.5671,"Summer","methane","Other","Other network"
"Focal Campaign Site 2",70.0229,-148.6598,"Summer","methane","Other","Other network"
"Fyodorovskoye",56.4615,32.9221,"All year","methane","Other","Other Year-round"
"Fyodorovskoye dry spruce",56.4476,32.9019,"All year","methane","Other","Other Year-round"
"Groundhog River",48.2173,-82.1555,"Summer","nonmethane","Other","Other network"
"Halmyran",64.16,19.56924,"All year","methane","Other","Other Year-round"
"Halsingfors mire",64.15956,19.5515,"All year","methane","Other","Other Year-round"
"Halssiaapa",67.3686,26.6541,"Summer","methane","Other","Other network"
"Havikpak Creek",68.3206,-133.5178,"Summer","methane","Other","Other network"
"Hurdal",60.3724,11.0781,"Summer","nonmethane","Other","Other network"
"Hyltemossa",56.0976,13.419,"Summer","nonmethane","Other","Other network"
"Hyytiaelae",61.8474,24.2948,"All year","methane","Other","Other Year-round"
"Igarka",67.5,86.5,"Summer","methane","Other","Other network"
"Imnavait, Alaska heath tundra",68.607,-149.296,"All year","methane","Other","Other Year-round"
"Imnavait, Alaska tussock tundra",68.606,-149.304,"All year","methane","Other","Other Year-round"
"Imnavait, Alaska wet sedge tundra",68.606,-149.311,"All year","methane","Other","Other Year-round"
"Iqaluit (PP)",63.75074721,-68.42846835,"All year","methane","PP Supported","PP Supported"
"Iskoras",69.57,25.5,"All year","methane","Other","Other Year-round"
"Ivotuk",68.4865,-155.7502,"All year","methane","Other","Other Year-round"
"Kangiqsuallujjuaq",58.71096767,-65.88109874,"All year","methane","PP Supported","PP Supported"
"Kenttarova",67.9873,24.243,"All year","nonmethane","Other","Other Year-round"
"Kilpisjaervi",69.0629,20.7975,"All year","nonmethane","Other","Other Year-round"
"Kinoje Lake",51.5902,-81.7686,"All year","nonmethane","Other","Other Year-round"
"Knottasen",60.9983,16.2173,"Summer","nonmethane","Other","Other network"
"Kumpula",60.2029,24.961,"Summer","nonmethane","Other","Other network"
"La Biche River",54.9538,-112.467,"Summer","nonmethane","Other","Other network"
"La Romaine Hydroelectrix Complex - Boreal forest",50.9021,-63.4051,"All year","methane","Other","Other Year-round"
"Lettosuo",60.6418,23.9597,"Summer","nonmethane","Other","Other network"
"Lily Lake Fen",60.5382,-150.5061,"Summer","methane","Other","Other network"
"Lompolojankka",67.9973,24.2091,"All year","methane","Other","Other Year-round"
"Lutose",59.4405,-117.2422,"All year","methane","PP Supported","PP Supported"
"Mader",68.8331,23.9126,"Summer","nonmethane","Other","Other network"
"Montmorency Forest juvenile",47.28945,-71.16792,"Summer","nonmethane","Other","Other network"
"Montmorency Forest sapling",47.284458,-71.151867,"Summer","nonmethane","Other","Other network"
"Mukhrino",60.8913,68.6763,"Summer","nonmethane","Other","Other network"
"NEON Barrow Environmental Observatory (BARR)",71.2824,-156.6194,"Summer","nonmethane","Other","Other network"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",65.154,-147.5026,"Summer","nonmethane","Other","Other network"
"NEON Delta Junction (DEJU)",63.8811,-145.7514,"Summer","nonmethane","Other","Other network"
"NEON Healy (HEAL)",63.8757,-149.2133,"Summer","nonmethane","Other","Other network"
"NEON Toolik (TOOL)",68.6611,-149.3705,"Summer","nonmethane","Other","Other network"
"NGEE Arctic Barrow",71.28,-156.6092,"Summer","methane","Other","Other network"
"Norunda",60.0864,17.4795,"All year","nonmethane","Other","Other Year-round"
"Nuuk Fen",64.1308,-51.3861,"Summer","nonmethane","Other","Other network"
"Oulanka, Puukkosuo fen",66.3702,29.3208,"Summer","methane","Other","Other network"
"Poker Flat Research (fire scar succession)",65.1198,-147.429,"All year","nonmethane","Other","Other Year-round"
"Poker Flat Research Range Black Spruce Forest",65.1237,-147.4876,"All year","nonmethane","Other","Other Year-round"
"Polar Bear Fen",54.9391,-83.4738,"All year","methane","Other","Other Year-round"
"Polar Bear Peat Plateau",54.9417,-83.4579,"All year","methane","Other","Other Year-round"
"Pond Inlet (PP)",72.669474,-77.99815,"All year","methane","PP Supported","PP Supported"
"Qvidja",60.2952,22.3916,"All year","nonmethane","Other","Other Year-round"
"Ranskalankorpi",61.182914,25.262622,"All year","nonmethane","Other","Other Year-round"
"Resolute Bay",74.727966,-94.898591,"Summer","methane","PP Supported","PP Supported"
"Robinsons_Natural_Bog_NL",48.2604,-58.6632,"Summer","methane","Other","Other network"
"Robinsons_Peatland_Pasture_NL",48.2632,-58.667,"Summer","methane","Other","Other network"
"Rosinedal-3",64.1725,19.738,"Summer","nonmethane","Other","Other network"
"Rosinedalsheden (control)",64.1652,19.7907,"All year","nonmethane","Other","Other Year-round"
"Rosinedalsheden (fertilized)",64.1707,19.7471,"All year","nonmethane","Other","Other Year-round"
"Sammaltunturi",67.9733,24.1157,"Summer","nonmethane","Other","Other network"
"Samoylov, terrace",72.3738,126.4958,"All year","methane","Other","Other Year-round"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",53.8758,-104.6453,"Summer","nonmethane","Other","Other network"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",53.908,-104.656,"Summer","nonmethane","Other","Other network"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",53.945,-104.649,"Summer","nonmethane","Other","Other network"
"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,"Summer","nonmethane","Other","Other network"
"Saskatchewan - Western Boreal, Mature Jack Pine",53.9163,-104.692,"Summer","nonmethane","Other","Other network"
"Scotty Creek Bog",61.3089,-121.2984,"All year","methane","PP Supported","PP Supported"
"Scotty Creek Landscape",61.3079,-121.2992,"All year","methane","PP Supported","PP Supported"
"Siikaneva",61.8327,24.1928,"All year","methane","Other","Other Year-round"
"Skyttorp, young",60.125,17.9181,"Summer","nonmethane","Other","Other network"
"Slavin Watershed TWO",64.7091,-138.4102,"Summer","nonmethane","Other","Other network"
"Smith Creek",63.1534,-123.2522,"All year","methane","PP Supported","PP Supported"
"Sodankyla",67.3618,26.6382,"All year","nonmethane","Other","Other Year-round"
"Southern Old Aspen (BERMS)",53.629,-106.2,"Summer","nonmethane","Other","Other network"
"Spasskaya Pad (experimental forest)",62.255,129.241,"Summer","nonmethane","Other","Other network"
"Spasskaya Pad, Larch",62.2557,129.1682,"Summer","nonmethane","Other","Other network"
"Steen River",59.5951,-117.2862,"All year","methane","PP Supported","PP Supported"
"Stordalen Grassland Mire",68.3541,19.0503,"Summer","methane","Other","Other network"
"Stordalen Palsa Bog (ICOS)",68.3559,19.0452,"All year","methane","Other","Other Year-round"
"Stortjarn",64.17498,19.56381,"All year","methane","Other","Other Year-round"
"Svartberget",64.2561,19.7745,"All year","nonmethane","Other","Other Year-round"
"Svartberget tall tower 60m",64.2562,19.7745,"Summer","methane","Other","Other network"
"Svartberget tall tower 85m",64.2562,19.7745,"All year","nonmethane","Other","Other Year-round"
"Tervalamminsuo",60.6457,23.9733,"Summer","nonmethane","Other","Other network"
"Thermokarst Collapse Scar Bog, Interior Alaska",64.6956,-148.3208,"All year","methane","Other","Other Year-round"
"Tiksi",71.5944,128.888,"All year","methane","Other","Other Year-round"
"Trail Valley Creek (lakeside)",68.7393,-133.5159,"Summer","nonmethane","Other","Other network"
"Trail Valley Creek (tall)",68.7435,-133.5018,"Summer","nonmethane","Other","Other network"
"Trail Valley Creek (upland)",68.7462,-133.5017,"All year","methane","Other","Other Year-round"
"Tura",64.2089,100.4636,"Summer","nonmethane","Other","Other network"
"Udleg Forest Research Station",48.2733,106.8508,"All year","nonmethane","Other","Other Year-round"
"University of Alaska, Fairbanks",64.8663,-147.8555,"All year","methane","Other","Other Year-round"
"Vaerrioe",67.7549,29.61,"All year","nonmethane","Other","Other Year-round"
"Wolf Creek Buckbrush",60.5216,-135.197,"Summer","nonmethane","Other","Other network"
"Wolf Creek Forest",60.5977,-134.9545,"All year","nonmethane","Other","Other Year-round"
"Wolf Creek Sparse Shrub",60.5448,-135.1886,"Summer","nonmethane","Other","Other network"
"Wolf Creek Upper Forest",60.5821,-135.0809,"Summer","nonmethane","Other","Other network"
"Yakutsk-Pine",62.2414,129.6506,"Summer","nonmethane","Other","Other network"
"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Burned 2015",61.2723,-163.2228,"All year","methane","PP Supported","PP Supported"
"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Unburned",61.2548,-163.259,"All year","methane","PP Supported","PP Supported"
"ZOTTO-Bog EC",60.8175,89.3833,"All year","nonmethane","Other","Other Year-round"
"ZOTTO-Fen EC",60.79026,89.49115,"Summer","methane","Other","Other network"
"ZOTTO-Forest EC",60.8069,89.3572,"All year","nonmethane","Other","Other Year-round"
"Zackenberg, Fen",74.4814,-20.5545,"All year","nonmethane","Other","Other Year-round"
"Zackenberg, Heath",74.4732,-20.5503,"All year","nonmethane","Other","Other Year-round"
"Zotino East, Birch Stand",61.0327,89.8195,"Summer","nonmethane","Other","Other network"
"Zotino East, Mixed Stand",61.0286,89.7863,"Summer","nonmethane","Other","Other network"
"Zotino East, Pole Stand",61.0312,89.7699,"Summer","nonmethane","Other","Other network"
"Toolik RTS",68.527238,-149.549063,"All year","methane","PP Supported","PP Supported"
