site,MeanTemp,Precip,PrecipSeasonality,MeanDiurnalRange,Isothermality,TempSeasonality,TempAnnualRange,NDVImax,NDVIsum,EVImax,NDWImin,SWIRaug,BulkDens,pH,CStock,CDensity,Sand,Silt,Clay,Permafrost,abcflux_name,Site_ID,Latitude,Longitude,Country,Contact,Contact_Email,Ecosystem,GHG,Start_CO2,End_CO2,Start_CH4,End_CH4,Start_N2O,End_N2O,Season_Activity,Terrestrial,Aquatic,active,Ext_Type,State,Population,x,y,pc1,pc2,pc3,pc4,active.2022,active.2024,methane.2022,methane.2024,Season_Activity.2022,Season_Activity.2024,annualmethane2022,annualmethane2024
Aldan,-5.71666669845581,663,51.508861541748,10.3500003814697,19.2022266387939,1622.66247558594,53.9000015258789,0.116810001432896,0.0381434671580791,2.75006008148193,0.572499990463257,0.320549994707108,1.30102503299713,5.4850001335144,446,283.924987792969,50.5999984741211,28.5499992370605,21.125,0.59980434179306,NA,NA,58.602998,125.38939,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sakha (Yakutia),24426,2849997.26080712,2024593.43235839,0.935637704674176,-0.408841035492751,-1.59532222156517,-0.518414062978952,NA,NA,NA,NA,NA,extension,NA,NA
Alert,-17.6000003814697,159,54.2030143737793,4.79999971389771,11.4285707473755,1431.23278808594,42,0.116400003433228,0.0469225831329823,0.410800009965897,0.201279997825623,0.0833999961614609,1.14187502861023,6.53249979019165,567,501.875,40.875,28.7749996185303,30.4500007629395,1,NA,NA,82.483323,-62.249984,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nunavut,125,-723770.511652661,-380794.345281777,5.59161210745621,-1.84592244108675,-0.0906495623170288,1.52105644963566,NA,NA,NA,NA,NA,extension,NA,NA
Alkkia Scots pine forest,3.10000014305115,632,32.8782119750977,8.94999980926514,26.9578323364258,844.861511230469,33.2000007629395,0.0545900017023087,0.303429633378983,6.58508014678955,0.84332001209259,0.509400010108948,1.27582490444183,5.07499980926514,598,371.100006103516,58.4000015258789,27.6749992370605,14.2749996185303,0,,FI-Alk,62.1834,22.7842,Finland,Tuomas Laurila,tuomas.laurila@fmi.fi,forest,CO2,2002,2008,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,1193051.88546695,-2840350.58444952,-4.09044631728311,-1.98579497571655,-0.0394655990904022,-0.00580918686891188,inactive,inactive,nonmethane,nonmethane,Summer,Summer,no,no
Allakaket,-6.38333320617676,331,54.3725547790527,13.3833332061768,24.0275287628174,1654.328125,55.7000007629395,0.0611199997365475,0.236697465181351,3.38670992851257,0.682479977607727,0.365249991416931,1.03180003166199,6.11499977111816,702,399.799987792969,40.9500007629395,50.0999984741211,9.44999980926514,0.704396069049835,NA,NA,66.565483,-152.6455,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,97,-1185901.95706185,2292290.39404437,0.663373636168537,1.68759242564286,0.995268321934012,-0.167152237832306,NA,NA,NA,NA,NA,extension,NA,NA
Ambarchik,-12.8666667938232,142,61.7892036437988,7.10000038146973,15.919282913208,1458.87780761719,44.5999984741211,0.102300003170967,0.406720578670502,0.242166668176651,0.105666667222977,0.0352666601538658,1.13655006885529,6.21750020980835,550,328.375,45.75,35.3499984741211,18.8999996185303,1,NA,NA,69.651006,162.333595,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sakha (Yakutia),0,677830.116885792,2128229.99472072,4.27410779001996,-1.76733208596406,-0.477896193072924,0.0232931245566027,NA,NA,NA,NA,NA,extension,NA,NA
Ambler,-4.5,232,71.3718338012695,9.83333301544189,21.4701595306396,1348.67614746094,45.7999992370605,0.0565400011837482,0.214333474636078,3.58156991004944,0.748260021209717,0.416979998350143,1.04182493686676,5.89499998092651,906,430.149993896484,31.75,53.9500007629395,14.2250003814697,0.791985273361206,NA,NA,67.086485,-157.851409,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,258,-950814.737366419,2335889.34235652,0.669216532242241,1.60725752443928,2.14258632352545,1.36143499113054,NA,NA,NA,NA,NA,extension,NA,NA
Amderma,-6.71250009536743,412,27.9740886688232,6.59166669845581,19.1062793731689,999.813903808594,34.5,0.0768600031733513,0.126335218548775,1.51686000823975,0.496280014514923,0.216509997844696,1.10282492637634,6.1399998664856,481,323.850006103516,49.9500007629395,32.375,17.4750003814697,0.650301814079285,NA,NA,69.763014,61.667698,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nenets,282,1954965.25985787,-1054062.47447458,1.25190952977032,-2.84505165721812,-0.222060584860594,1.17420908845256,NA,NA,NA,NA,NA,extension,NA,NA
Amos,1.04166662693024,942,31.087718963623,11.9333333969116,25.0700283050537,1268.54040527344,47.5999984741211,0.120190002024174,0.0320397913455963,3.3174901008606,0.557110011577606,0.365510016679764,1.29824995994568,6.19999980926514,421,172.300003051758,42.4000015258789,37.4749984741211,20.25,1.66581972735003e-4,NA,NA,48.566634,-78.116664,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Québec,10516,-4600183.40657681,-968013.437099792,-1.00937401239913,-0.514841046109189,-1.69991576981487,1.93474582060385,NA,NA,NA,NA,NA,extension,NA,NA
Anaktuvuk River (moderate burn),-9.67500019073486,213,62.0355072021484,9.69999980926514,20.8602142333984,1442.06372070312,46.5,0.0895000025629997,0.344711363315582,2.95952987670898,0.708599984645844,0.45320999622345,0.847750008106232,5.61749982833862,872,602.5,24.6499996185303,51.0999984741211,24.5249996185303,1,Aktuvuk River Moderate Burn,US-An2,68.95,-150.21,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",tundra,CO2,2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,-1148739.13078121,2006623.60805389,1.60817809305898,1.88112735540473,3.63676036889538,1.49359853101119,active,active,nonmethane,nonmethane,Summer,Summer,no,no
Anaktuvuk River (severe burn),-9.63749980926514,211,63.0667266845703,9.72500038146973,20.8244113922119,1448.14794921875,46.7000007629395,0.0943000018596649,0.318361401557922,2.78680992126465,0.721560001373291,0.476119995117188,0.850450038909912,5.88749980926514,838,567.825012207031,25.1749992370605,48.5750007629395,26.2749996185303,1,Aktuvuk River Severe Burn,US-An1,68.99,-150.28,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",tundra,CO2,2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,-1144060.79398947,2004126.2577951,1.72407545382278,1.96635129294044,3.24229114893772,1.74000934635226,active,active,nonmethane,nonmethane,Summer,Summer,no,no
Anaktuvuk River (unburned),-9.76249980926514,215,63.6144218444824,9.625,20.7883358001709,1441.55871582031,46.2999992370605,0.0964699983596802,0.385876625776291,2.86169004440308,0.686309993267059,0.436439990997314,0.822825014591217,5.81750011444092,740,653.125,28.3500003814697,50.4249992370605,21.375,1,Aktuvuk River Unburned,US-An3,68.93,-150.27,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",tundra,CO2,2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,-1147750.57789539,2009775.10359297,1.79263339737378,1.46174082244777,3.48102280161473,1.22272135293576,active,active,nonmethane,nonmethane,Summer,Summer,no,no
Andoya,3.75416660308838,1205,30.5321292877197,5.15833330154419,26.8663196563721,530.871765136719,19.2000007629395,0.106020003557205,0.361516565084457,4.33265018463135,0.702239990234375,0.447539985179901,1.17084991931915,5.74499988555908,686,458.774993896484,66.5500030517578,25.1000003814697,9,0,Andoya,NO-And,69.1428,16.0222,Norway,"Daniel Rasse, Magnus Lund","Daniel.Rasse@bioforsk.no, ml@bios.au.dk",wetland,"CO2,CH4",2008,2014,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,632210.3247809,-2201559.61477736,-3.55761116014242,-5.4187550509934,0.111478167956472,0.638701905887913,inactive,inactive,methane,methane,Summer,Summer,no,no
Aniak,-1.01250004768372,506,50.6852760314941,8.77500057220459,22.9712047576904,1123.54174804688,38.2000007629395,0.0319599993526936,0.202167764306068,2.59336996078491,0.548080027103424,0.268249988555908,1.09062504768372,6.03000020980835,463,334,24.8999996185303,64.6999969482422,11.375,0.635721743106842,NA,NA,61.578708,-159.522186,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,501,-1102151.67432577,2951321.90831507,0.224575456345249,0.420803581959,1.63060993630504,2.9430851380024,NA,NA,NA,NA,NA,extension,NA,NA
Apatity,-1.12916672229767,561,35.0220108032227,7.25833320617676,19.9954090118408,986.447875976562,36.3000030517578,0.0724899992346764,0.134380370378494,3.35794997215271,0.683200001716614,0.387650012969971,1.21644997596741,5.6100001335144,294,237.449996948242,53.1500015258789,38.125,9.14999961853027,0.148100450634956,NA,NA,67.573071,33.393042,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Murmansk,66907,1357829.42343171,-2059800.66580936,-1.22172784013579,-2.28648290541007,-0.621313113975468,0.727264210362974,NA,NA,NA,NA,NA,extension,NA,NA
Archangel,1.27083337306976,547,32.3166961669922,8.125,21.1588535308838,1020.00549316406,38.4000015258789,0.0638900026679039,0.122220024466515,2.55028009414673,0.523540019989014,0.229800000786781,1.09134995937347,5.76249980926514,633,418.674987792969,43.1749992370605,44.2000007629395,13.0249996185303,0,NA,NA,64.574959,40.545008,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Arkhangel'sk,356051,1824613.92158106,-2132953.33798216,-0.276518929872117,-2.00971205442572,0.927239148994875,1.6081399687716,NA,NA,NA,NA,NA,extension,NA,NA
Arctic Bay,-13.4208335876465,200,70.0496597290039,5.45833301544189,13.1843795776367,1350.15393066406,41.4000015258789,0.101060003042221,-0.0378025621175766,0.838789999485016,0.35139000415802,0.140660002827644,1.21710002422333,6.54250001907349,489,377.450012207031,44.5250015258789,38.0250015258789,17.2250003814697,1,NA,NA,73.033306,-85.166621,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nunavut,604,-1849916.67422399,-156427.208244763,4.53438228296947,-1.55422419073005,-0.781626169607904,1.29562168024404,NA,NA,NA,NA,NA,extension,NA,NA
Arctic DTU Research Station Sisimiut,-3.72500014305115,471,37.4866485595703,5.61666679382324,19.5702667236328,827.371276855469,28.7000007629395,0.0913666635751724,0.321660757064819,0.305385708808899,0.202000007033348,0.04698571190238,1.08627498149872,6.09250020980835,507,360.225006103516,62.4749984741211,24.6000003814697,12.9250001907349,0.122528679668903,NA,NA,66.916667,-53.666667,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research_Station,NA,NA,-2047128.10318637,-1505599.47144889,1.27594771378421,-5.34340510664009,-0.911047728670242,0.266544208752199,NA,NA,NA,NA,NA,extension,NA,NA
Argentia,4.9375,1255,12.799388885498,7.27500009536743,26.8450183868408,688.04443359375,27.0999984741211,0.113830000162125,0.0991013497114182,3.97206020355225,0.615819990634918,0.316260010004044,1.34514999389648,5.17999982833862,446,299.100006103516,57,31.4500007629395,11.8999996185303,0,NA,NA,47.300432,-53.989997,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Newfoundland and Labrador,1063,-3929787.68915205,-2856206.25689767,-3.14090662080364,-4.57018195984925,-1.11872417023853,1.2136961926752,NA,NA,NA,NA,NA,extension,NA,NA
Artemovsk,-0.212499976158142,558,58.4910583496094,11.9916667938232,25.733190536499,1271.40783691406,46.5999984741211,0.0828600004315376,0.0632373541593552,4.68365001678467,0.78863000869751,0.571020007133484,1.26017498970032,5.92999982833862,354,264.700012207031,39.8250007629395,39.5750007629395,21.0249996185303,0.00363215059041977,NA,NA,54.348736,93.435527,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Krasnoyarsk,4948,3991378.43678691,239615.307004133,-1.76393067480906,1.31500186509777,-0.837439717173206,1.8301778376859,NA,NA,NA,NA,NA,extension,NA,NA
Artemovskiy,2.33333325386047,489,56.9666786193848,9.98333358764648,23.545597076416,1209.919921875,42.4000015258789,0.103390000760555,0.0280943065881729,4.03431987762451,0.67290997505188,0.438930004835129,1.25294995307922,6.44000005722046,340,139.300003051758,19.8250007629395,48.375,32.1500015258789,0,NA,NA,57.365192,61.869753,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sverdlovsk,44689,3210970.29406674,-1716677.46169024,-0.529952986298804,1.97602010984546,-0.565417460077656,4.80912546474783,NA,NA,NA,NA,NA,extension,NA,NA
Asbest,2.27916669845581,500,55.7446517944336,9.30833339691162,22.1100559234619,1194.11706542969,42.0999984741211,0.0972499996423721,0.129986792802811,4.31742000579834,0.671109974384308,0.391039997339249,1.32602500915527,6.19500017166138,265,105.425003051758,30.2000007629395,40.6749992370605,29.3250007629395,5.69297071706387e-6,NA,NA,57.023043,61.458047,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sverdlovsk,81248,3233931.28454422,-1758948.65738298,-0.946779586310177,0.988827389267163,-1.30280135571203,3.45636513913335,NA,NA,NA,NA,NA,extension,NA,NA
Asino,0.541666626930237,470,45.8429832458496,10.5,22.1052627563477,1351.58630371094,47.5,0.116630002856255,-0.00764705054461956,3.63459992408752,0.636260032653809,0.413839995861053,1.2607250213623,6.68249988555908,182,278.575012207031,28.2999992370605,38.1500015258789,33.7000007629395,0.0273678246885538,NA,NA,56.993122,86.162689,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Tomsk,27070,3676597.02573035,-246604.170868951,0.218953509744748,1.38238370134986,-1.07309421416853,3.90984910687942,NA,NA,NA,NA,NA,extension,NA,NA
"Athabasca, poor fen",-0.220833212137222,503,65.3671112060547,12.0416669845581,25.3508777618408,1242.07568359375,47.5,0.0606900006532669,0.38774237036705,5.70965003967285,0.754059970378876,0.454549998044968,1.31442499160767,6.02750015258789,218,134.399993896484,50.3250007629395,28.7749996185303,21.25,0.0925193950533867,,,55.5375,-112.335,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,wetland,CO2,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,-3567642.77359351,1465743.50435549,-2.44388870077332,0.845751599468827,-2.06705164685012,0.270882159519004,inactive,inactive,nonmethane,nonmethane,Summer,Summer,no,no
"Athabasca, rich fen",1.48749995231628,494,66.4788360595703,11.6416664123535,26.8241176605225,1149.13830566406,43.4000015258789,0.0377699993550777,0.183945834636688,4.94562005996704,0.794439971446991,0.418500006198883,1.35792505741119,6.21750020980835,223,116.449996948242,46.7000007629395,29.8999996185303,23.0499992370605,0,,,54.47,-113.32,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,wetland,CO2,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,-3658616.01106423,1577163.18054859,-2.39953557943416,0.830223014747101,-2.39725919145948,1.3539879997008,inactive,inactive,nonmethane,nonmethane,Summer,Summer,no,no
Atka,4.52083349227905,1145,29.8360843658447,4.10833311080933,29.7705326080322,347.847015380859,13.8000001907349,0.0701899975538254,0.315066039562225,5.51321983337402,0.776260018348694,0.541649997234344,0.705200016498566,5.66750001907349,662,479.850006103516,53.9500007629395,34.9249992370605,11.3249998092651,0,NA,NA,52.19649,-174.200489,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,61,-430182.652759825,4235428.8486012,-4.23492581117529,-4.70715987573924,2.38514818461887,2.17549503806486,NA,NA,NA,NA,NA,extension,NA,NA
Atqasuk,-10.6499996185303,133,75.8871459960938,7.18333339691162,16.6280860900879,1370.29028320312,43.2000007629395,0.0827500000596046,0.259248852729797,2.23724007606506,0.568509995937347,0.271760016679764,1.06235003471375,5.8600001335144,812,496.799987792969,62.5250015258789,24.5499992370605,13.6750001907349,1,Atqasuk,US-Atq,70.4696,-157.4089,USA,"Walter Oechel, Donatella Zona","woechel@mail.sdsu.edu, dzona@mail.sdsu.edu","tundra, wetland","CO2,CH4",2004,2024,2013,NA,NA,NA,All year,TRUE,FALSE,active,NA,NA,NA,-822847.139743968,1977629.0921808,2.36929166076576,-1.85235811999847,0.142218235309813,-1.69000534482774,active,active,methane,methane,All year,All year,annualmethane,annualmethane
Attawapiskat,-1.99166667461395,568,52.6401634216309,11.3166666030884,22.678689956665,1362.30395507812,49.9000015258789,0.0391199998557568,0.135327279567719,4.50249004364014,0.810660004615784,0.452690005302429,1.17542505264282,6.09999990463257,1327,319.950012207031,36.2999992370605,36.0999984741211,27.7000007629395,0.231593042612076,NA,NA,52.916627,-82.433325,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Ontario,1802,-4134010.65942185,-549147.703170676,-0.999948222086928,1.66415554235715,1.16353398312588,1.34005467118442,NA,NA,NA,NA,NA,extension,NA,NA
Attawapiskat River Bog,-1.96249973773956,626,44.6743698120117,11.875,23.1481475830078,1403.47473144531,51.3000030517578,0.0694300010800362,0.367788732051849,4.08538007736206,0.665160000324249,0.365109980106354,0.954525053501129,5.23999977111816,1369,350.100006103516,47.6500015258789,28.3250007629395,24.4750003814697,0.111871622502804,Attawapiskat River Bog,CA-ARB,52.695,-83.9452,Canada,"Elyn Humphreys, Aaron Todd","elyn.humphreys@carleton.ca, aaron.todd@ontario.ca",wetland,"CO2,CH4",2010,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,-4173615.57121426,-442700.991741474,-1.23496069263295,-0.0105040393936574,1.57965429897573,-0.865332822129703,active,active,methane,methane,Summer,Summer,no,no
Attawapiskat River Fen,-1.96666646003723,620,45.1021270751953,11.8833332061768,23.1193256378174,1404.08544921875,51.4000015258789,0.0568500012159348,0.356344193220139,4.6274299621582,0.745999991893768,0.383240014314651,0.929974973201752,5.23000001907349,1233,347.75,50.4249992370605,28.2250003814697,21.8999996185303,0.155951246619225,Attawapiskat River Fen,CA-ARF,52.7008,-83.955,Canada,"Elyn Humphreys, Aaron Todd","elyn.humphreys@carleton.ca, aaron.todd@ontario.ca",wetland,"CO2,CH4",2010,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,-4172995.83715221,-441913.479549971,-1.6086439725682,0.0326724910466124,1.45974752436932,-1.20248548428716,active,active,methane,methane,Summer,Summer,no,no
Avachinsky Volcano Field Station,-2.62083315849304,1080,26.3985900878906,8.09166622161865,24.8210639953613,922.10595703125,32.5999984741211,0.0809800028800964,0.285954624414444,2.72527003288269,0.70429003238678,0.449669986963272,1.13355004787445,5.77500009536743,250,154.175003051758,53.2000007629395,37.25,10.25,0.00640610978007317,NA,NA,53.25,158.733333,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research_Station,NA,NA,1498068.16793847,3848960.9750524,-2.55248485627945,-2.74460532315166,-0.748126111207523,0.841206906915571,NA,NA,NA,NA,NA,extension,NA,NA
