site,MeanTemp,Precip,PrecipSeasonality,MeanDiurnalRange,Isothermality,TempSeasonality,TempAnnualRange,NDVImax,NDVIsum,EVImax,NDWImin,SWIRaug,BulkDens,pH,CStock,CDensity,Sand,Silt,Clay,Permafrost,Type,2022 list,Our List,ADDED,edited,Site_ID,Latitude,Longitude,Country,Contact,Contact_Email,Data_Availability,Reference,Reference_Short,Additional_Information,Anemometer,Gas_Analyser,Power,Ecosystem,GHG,Complementary_Measurements,Start_CO2,End_CO2,Start_CH4,End_CH4,Start_N2O,End_N2O,Season_Activity,Terrestrial,Aquatic,ignore,active,methane,Ext_Type,State,Population,x,y,pc1,pc2,pc3,pc4
Alberta - Western Peatland - Rich Fen  (Carex),1.48749995231628,494,66.4788360595703,11.6416664123535,26.8241176605225,1149.13830566406,43.4000015258789,0.0377699993550777,0.183945834636688,4.94562005996704,0.794439971446991,0.418500006198883,1.35792505741119,6.21750020980835,223,116.449996948242,46.7000007629395,29.8999996185303,23.0499992370605,0,EC_Tower,NA,Alberta - Western Peatland - Rich Fen  (Carex),No,no,CA-WP3,54.47,-113.32,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,https://ameriflux.lbl.gov/data/download-data/?request=policy:LEGACY;site_id:CA-WP3,NA,NA,https://ameriflux.lbl.gov/sites/siteinfo/CA-WP3,NA,NA,NA,wetland,CO2,NA,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,no,inactive,nonmethane,NA,NA,NA,-3658616.01106423,1577163.18054859,-2.39256326500022,0.843552540299228,-2.39147641582478,1.33957369388757
Aldan,-5.71666669845581,663,51.508861541748,10.3500003814697,19.2022266387939,1622.66247558594,53.9000015258789,0.116810001432896,0.0381434671580791,2.75006008148193,0.572499990463257,0.320549994707108,1.30102503299713,5.4850001335144,446,283.924987792969,50.5999984741211,28.5499992370605,21.125,0.598917603492737,NA,NA,NA,NA,NA,NA,58.602998,125.38939,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sakha (Yakutia),24426,2849997.26080712,2024593.43235839,0.988760955072487,-0.468590891439491,-1.59891993987895,-0.499991818578785
Alert,-17.6000003814697,159,54.2030143737793,4.79999971389771,11.4285707473755,1431.23278808594,42,0.116400003433228,0.0469225831329823,0.410800009965897,0.201279997825623,0.0833999961614609,1.14187502861023,6.53249979019165,567,501.875,40.875,28.7749996185303,30.4500007629395,1,NA,NA,NA,NA,NA,NA,82.483323,-62.249984,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nunavut,125,-723770.511652661,-380794.345281777,5.66425470698207,-1.93751863152309,-0.0890640024600723,1.54752449273792
Alkkia Scots pine forest,3.10000014305115,632,32.8782119750977,8.94999980926514,26.9578323364258,844.861511230469,33.2000007629395,0.0545900017023087,0.303429633378983,6.58508014678955,0.84332001209259,0.509400010108948,1.27582490444183,5.07499980926514,598,371.100006103516,58.4000015258789,27.6749992370605,14.2749996185303,0,EC_Tower,NA,Alkkia Scots pine forest,No,no,FI-Alk,62.1834,22.7842,Finland,Tuomas Laurila,tuomas.laurila@fmi.fi,NA,NA,NA,http://www.europe-fluxdata.eu/home/site-details?id=FI-Alk,ATI SWS211,LI-7000,NA,forest,CO2,"net radiation, PAR, temperature, humidity, soil moisture, soil temperature, pressure, precipitation, ground water depth",2002,2008,NA,NA,NA,NA,Summer,TRUE,FALSE,no,inactive,nonmethane,NA,NA,NA,1193051.88546695,-2840350.58444952,-4.11213681281029,-2.00451705056246,-0.0648334789225877,0.00753306152030458
Allakaket,-6.38333320617676,331,54.3725547790527,13.3833332061768,24.0275287628174,1654.328125,55.7000007629395,0.0611199997365475,0.236697465181351,3.38670992851257,0.682479977607727,0.365249991416931,1.03180003166199,6.11499977111816,702,399.799987792969,40.9500007629395,50.0999984741211,9.44999980926514,0.704396069049835,NA,NA,NA,NA,NA,NA,66.565483,-152.6455,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,97,-1185901.95706185,2292290.39404437,0.705305272096611,1.65007905103876,0.983167816147273,-0.184604476110895
Ambarchik,-12.8666667938232,142,61.7892036437988,7.10000038146973,15.919282913208,1458.87780761719,44.5999984741211,0.102300003170967,0.406720578670502,0.242166668176651,0.105666667222977,0.0352666601538658,1.13655006885529,6.21750020980835,550,328.375,45.75,35.3499984741211,18.8999996185303,1,NA,NA,NA,NA,NA,NA,69.651006,162.333595,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sakha (Yakutia),0,677830.116885792,2128229.99472072,4.37244686497514,-1.85374792713214,-0.506097606783837,0.0340593192074808
Ambler,-4.5,232,71.3718338012695,9.83333301544189,21.4701595306396,1348.67614746094,45.7999992370605,0.0565400011837482,0.214333474636078,3.58156991004944,0.748260021209717,0.416979998350143,1.04182493686676,5.89499998092651,906,430.149993896484,31.75,53.9500007629395,14.2250003814697,0.791985273361206,NA,NA,NA,NA,NA,NA,67.086485,-157.851409,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,258,-950814.737366419,2335889.34235652,0.685684341203427,1.55766230637901,2.1459467949761,1.35079070077521
Amderma,-6.71250009536743,412,27.9740886688232,6.59166669845581,19.1062793731689,999.813903808594,34.5,0.0768600031733513,0.126335218548775,1.51686000823975,0.496280014514923,0.216509997844696,1.10282492637634,6.1399998664856,481,323.850006103516,49.9500007629395,32.375,17.4750003814697,0.650301814079285,NA,NA,NA,NA,NA,NA,69.763014,61.667698,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nenets,282,1954965.25985787,-1054062.47447458,1.2812082191713,-2.89695528364319,-0.234071215872769,1.20532768864541
Amos,1.04166662693024,942,31.087718963623,11.9333333969116,25.0700283050537,1268.54040527344,47.5999984741211,0.120190002024174,0.0320397913455963,3.3174901008606,0.557110011577606,0.365510016679764,1.29824995994568,6.19999980926514,421,172.300003051758,42.4000015258789,37.4749984741211,20.25,1.66581972735003e-4,NA,NA,NA,NA,NA,NA,48.566634,-78.116664,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Québec,10516,-4600183.40657681,-968013.437099792,-0.980084575852591,-0.545386551411083,-1.71118510838017,1.9360139902262
Anaktuvuk River (moderate burn),-9.67500019073486,213,62.0355072021484,9.69999980926514,20.8602142333984,1442.06372070312,46.5,0.0895000025629997,0.344711363315582,2.95952987670898,0.708599984645844,0.45320999622345,0.847750008106232,5.61749982833862,872,602.5,24.6499996185303,51.0999984741211,24.5249996185303,1,EC_Tower,Anaktuvuk River (moderate burn),Anaktuvuk River (moderate burn),No,no,US-An2,68.95,-150.21,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",https://ameriflux.lbl.gov/data/download-data/?request=policy:CCBY4.0;site_id:US-An2,"Rocha, A. V., & Shaver, G. R. (2011). Postfire energy exchange in arctic tundra: the importance and climatic implications of burn severity. Glob. Change Biol., 17(9), 2831-2841. doi:10.1111/j.1365-2486.2011.02441.x","Rocha and Shaver (2011), https://doi.org/10.1111/j.1365-2486.2011.02441.x",http://ameriflux.lbl.gov/sites/siteinfo/US-An2,CSAT-3,LI-7500,solar,tundra,CO2,"net radiation, PAR, temperature, humidity",2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,no,active,nonmethane,NA,NA,NA,-1148739.13078121,2006623.60805389,1.6205913829242,1.81961709118147,3.64326228588449,1.46476501466812
Anaktuvuk River (severe burn),-9.63749980926514,211,63.0667266845703,9.72500038146973,20.8244113922119,1448.14794921875,46.7000007629395,0.0943000018596649,0.318361401557922,2.78680992126465,0.721560001373291,0.476119995117188,0.850450038909912,5.88749980926514,838,567.825012207031,25.1749992370605,48.5750007629395,26.2749996185303,1,EC_Tower,Anaktuvuk River (severe burn),Anaktuvuk River (severe burn),No,no,US-An1,68.99,-150.28,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",https://ameriflux.lbl.gov/data/download-data/?request=policy:CCBY4.0;site_id:US-An1,"Rocha, A. V., & Shaver, G. R. (2011). Postfire energy exchange in arctic tundra: the importance and climatic implications of burn severity. Glob. Change Biol., 17(9), 2831-2841. doi:10.1111/j.1365-2486.2011.02441.x","Rocha and Shaver (2011), https://doi.org/10.1111/j.1365-2486.2011.02441.x",http://ameriflux.lbl.gov/sites/siteinfo/US-An1,CSAT-3,LI-7500,solar,tundra,CO2,"net radiation, PAR, temperature, humidity",2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,no,active,nonmethane,NA,NA,NA,-1144060.79398947,2004126.2577951,1.73217779574847,1.91112238024503,3.25489453973938,1.71444851107782
Anaktuvuk River (unburned),-9.76249980926514,215,63.6144218444824,9.625,20.7883358001709,1441.55871582031,46.2999992370605,0.0964699983596802,0.385876625776291,2.86169004440308,0.686309993267059,0.436439990997314,0.822825014591217,5.81750011444092,740,653.125,28.3500003814697,50.4249992370605,21.375,1,EC_Tower,Anaktuvuk River (unburned),Anaktuvuk River (unburned),No,no,US-An3,68.93,-150.27,USA,"Adrian Rocha, Donie Bret-Harte, Eugenie Euskirchen","arocha1@nd.edu, msbretharte@alaska.edu, ffese@uaf.edu",https://ameriflux.lbl.gov/data/download-data/?request=policy:CCBY4.0;site_id:US-An3,"Rocha, A. V., & Shaver, G. R. (2011). Postfire energy exchange in arctic tundra: the importance and climatic implications of burn severity. Glob. Change Biol., 17(9), 2831-2841. doi:10.1111/j.1365-2486.2011.02441.x","Rocha and Shaver (2011), https://doi.org/10.1111/j.1365-2486.2011.02441.x",http://ameriflux.lbl.gov/sites/siteinfo/US-An3,CSAT-3,LI-7500,solar,tundra,CO2,"net radiation, PAR, temperature, humidity",2008,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,no,active,nonmethane,NA,NA,NA,-1147750.57789539,2009775.10359297,1.80702015891593,1.40003246951639,3.48474328949716,1.20188094704426
Andoya,3.75416660308838,1205,30.5321292877197,5.15833330154419,26.8663196563721,530.871765136719,19.2000007629395,0.106020003557205,0.361516565084457,4.33265018463135,0.702239990234375,0.447539985179901,1.17084991931915,5.74499988555908,686,458.774993896484,66.5500030517578,25.1000003814697,9,0,EC_Tower,NA,Andoya,No,no,NO-And,69.1428,16.0222,Norway,"Daniel Rasse, Magnus Lund","Daniel.Rasse@bioforsk.no, ml@bios.au.dk",NA,"Lund, M., Bjerke, J. W., Drake, B. G., Engelsen, O., Hansen, G. H., Parmentier, F. J. W., . . . Rasse, D. P. (2015). Low impact of dry conditions on the CO2 exchange of a Northern-Norwegian blanket bog. Environ. Res. Lett., 10(2), 025004. doi:10.1088/1748-9326/10/2/025004","Lund et al. (2015), https://doi.org/10.1088/1748-9326/10/2/025004",http://sites.fluxdata.org/No-And,CSAT-3,LI-7500,line power,wetland,"CO2,CH4",NA,2008,2014,NA,NA,NA,NA,Summer,TRUE,FALSE,no,inactive,methane,NA,NA,NA,632210.3247809,-2201559.61477736,-3.60333111762577,-5.45390938872246,0.0626068744843715,0.679580301712026
Aniak,-1.01250004768372,506,50.6852760314941,8.77500057220459,22.9712047576904,1123.54174804688,38.2000007629395,0.0319599993526936,0.202167764306068,2.59336996078491,0.548080027103424,0.268249988555908,1.09062504768372,6.03000020980835,463,334,24.8999996185303,64.6999969482422,11.375,0.635307967662811,NA,NA,NA,NA,NA,NA,61.578708,-159.522186,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Alaska,501,-1102151.67432577,2951321.90831507,0.254236648896022,0.37438672685923,1.62790933990755,2.93112498638773
Apatity,-1.12916672229767,561,35.0220108032227,7.25833320617676,19.9954090118408,986.447875976562,36.3000030517578,0.0724899992346764,0.134380370378494,3.35794997215271,0.683200001716614,0.387650012969971,1.21644997596741,5.6100001335144,294,237.449996948242,53.1500015258789,38.125,9.14999961853027,0.148100450634956,NA,NA,NA,NA,NA,NA,67.573071,33.393042,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Murmansk,66907,1357829.42343171,-2059800.66580936,-1.20493859010899,-2.3353930313557,-0.62169816858707,0.78029337635395
Archangel,1.27083337306976,547,32.3166961669922,8.125,21.1588535308838,1020.00549316406,38.4000015258789,0.0638900026679039,0.122220024466515,2.55028009414673,0.523540019989014,0.229800000786781,1.09134995937347,5.76249980926514,633,418.674987792969,43.1749992370605,44.2000007629395,13.0249996185303,0,NA,NA,NA,NA,NA,NA,64.574959,40.545008,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Arkhangel'sk,356051,1824613.92158106,-2132953.33798216,-0.245388610582159,-2.06223959496754,0.899023016062575,1.61276586057554
Arctic Bay,-13.4208335876465,200,70.0496597290039,5.45833301544189,13.1843795776367,1350.15393066406,41.4000015258789,0.101060003042221,-0.0378025621175766,0.838789999485016,0.35139000415802,0.140660002827644,1.21710002422333,6.54250001907349,489,377.450012207031,44.5250015258789,38.0250015258789,17.2250003814697,1,NA,NA,NA,NA,NA,NA,73.033306,-85.166621,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Nunavut,604,-1849916.67422399,-156427.208244763,4.5988081726357,-1.63847013172342,-0.77248538259419,1.34463762232565
Arctic DTU Research Station Sisimiut,-3.72500014305115,471,37.4866485595703,5.61666679382324,19.5702667236328,827.371276855469,28.7000007629395,0.0913666635751724,0.321660757064819,0.305385708808899,0.202000007033348,0.04698571190238,1.08627498149872,6.09250020980835,507,360.225006103516,62.4749984741211,24.6000003814697,12.9250001907349,0.122528679668903,NA,NA,NA,NA,NA,NA,66.916667,-53.666667,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research_Station,NA,NA,-2047128.10318637,-1505599.47144889,1.33112506686257,-5.40628309934508,-0.967441836377071,0.295754375931673
Argentia,4.9375,1255,12.799388885498,7.27500009536743,26.8450183868408,688.04443359375,27.0999984741211,0.113830000162125,0.0991013497114182,3.97206020355225,0.615819990634918,0.316260010004044,1.34514999389648,5.17999982833862,446,299.100006103516,57,31.4500007629395,11.8999996185303,0,NA,NA,NA,NA,NA,NA,47.300432,-53.989997,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Newfoundland and Labrador,1063,-3929787.68915205,-2856206.25689767,-3.14738995545168,-4.61371829456622,-1.15989184243959,1.24556181059579
Artemovsk,-0.212499976158142,558,58.4910583496094,11.9916667938232,25.733190536499,1271.40783691406,46.5999984741211,0.0828600004315376,0.0632373541593552,4.68365001678467,0.78863000869751,0.571020007133484,1.26017498970032,5.92999982833862,354,264.700012207031,39.8250007629395,39.5750007629395,21.0249996185303,0.00363215059041977,NA,NA,NA,NA,NA,NA,54.348736,93.435527,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Krasnoyarsk,4948,3991378.43678691,239615.307004133,-1.76161904982775,1.29987762126183,-0.820600251557313,1.83142287488006
Artemovskiy,2.33333325386047,489,56.9666786193848,9.98333358764648,23.545597076416,1209.919921875,42.4000015258789,0.103390000760555,0.0280943065881729,4.03431987762451,0.67290997505188,0.438930004835129,1.25294995307922,6.44000005722046,340,139.300003051758,19.8250007629395,48.375,32.1500015258789,0,NA,NA,NA,NA,NA,NA,57.365192,61.869753,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sverdlovsk,44689,3210970.29406674,-1716677.46169024,-0.518911935395789,1.95306876956847,-0.533595271731742,4.79395330009913
